row_label_raw,row_label_full,Công ty TNHH Asia Packing Industries Việt Nam,31/12/2023 > 5.906.133.045,01/01/2023 > 8.995.260.201,numeric__31/12/2023 > 5.906.133.045,numeric__01/01/2023 > 8.995.260.201
Công ty TNHH TM & Vận tải Thái Tân,Công ty TNHH TM & Vận tải Thái Tân,Công ty TNHH TM & Vận tải Thái Tân,4.928.606.906,5.913.317.579,4928606906.0,5913317579.0
Công ty TNHH Brenntag Việt Nam,Công ty TNHH Brenntag Việt Nam,Công ty TNHH Brenntag Việt Nam,5.706.568.560,6.123.256.884,5706568560.0,6123256884.0
Công ty CP In bao bì Khatoco,Công ty CP In bao bì Khatoco,Công ty CP In bao bì Khatoco,6.555.291.001,10.263.758.830,6555291001.0,10263758830.0
Công ty CP Tetra Pak Việt Nam,Công ty CP Tetra Pak Việt Nam,Công ty CP Tetra Pak Việt Nam,13.550.135.298,9.687.621.300,13550135298.0,9687621300.0
Công ty CP Phân bón Việt Nhật,Công ty CP Phân bón Việt Nhật,Công ty CP Phân bón Việt Nhật,15.115.698.000,23.482.859.000,15115698000.0,23482859000.0
Công ty CP Hóa chất Á Châu,Công ty CP Hóa chất Á Châu,Công ty CP Hóa chất Á Châu,7.035.765.913,7.430.371.183,7035765913.0,7430371183.0
Công ty CP Bao bì Kinh Bắc,Công ty CP Bao bì Kinh Bắc,Công ty CP Bao bì Kinh Bắc,5.518.008.036,2.966.329.847,5518008036.0,2966329847.0
Công ty CP TKL,Công ty CP TKL,Công ty CP TKL,16.982.015.339,28.305.808.549,16982015339.0,28305808549.0
Công ty TNHH SX-TM-DV Minh Thông,Công ty TNHH SX-TM-DV Minh Thông,Công ty TNHH SX-TM-DV Minh Thông,2.046.423.620,1.698.460.380,2046423620.0,1698460380.0
Công ty TNHH MTV Úng Dụng & PT Công nghệ,Công ty TNHH MTV Úng Dụng & PT Công nghệ,Công ty TNHH MTV Úng Dụng & PT Công nghệ,95.578.355.678,113.113.552.660,95578355678.0,113113552660.0
Công ty CP Xây dựng Đô thị & Khu Công nghiệp,Công ty CP Xây dựng Đô thị & Khu Công nghiệp,Công ty CP Xây dựng Đô thị & Khu Công nghiệp,-,175.093.550,,175093550.0
Công ty TNHH TM &KT Nguyễn Liêu,Công ty TNHH TM &KT Nguyễn Liêu,Công ty TNHH TM &KT Nguyễn Liêu,-,197.635.736,,197635736.0
Công ty TNHH Bao bì NGK Crown Đà Nẵng,Công ty TNHH Bao bì NGK Crown Đà Nẵng,Công ty TNHH Bao bì NGK Crown Đà Nẵng,2.594.162.633,3.823.152.096,2594162633.0,3823152096.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,274.802.644.713,256.751.240.599,274802644713.0,256751240599.0
Cộng,Cộng,Cộng,456.319.808.742,478.927.718.394,456319808742.0,478927718394.0
