row_label_raw,row_label_full,col_0,2020(triệu đồng)Số đã trình bày,Điều chỉnh,2020(triệu đồng)Trình bày lại,numeric__2020(triệu đồng)Số đã trình bày,numeric__Điều chỉnh,numeric__2020(triệu đồng)Trình bày lại
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,83.677.717,(1.201),83.676.516,83677717.0,-1201.0,83676516.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,35.580.829,(1.201),35.579.628,35580829.0,-1201.0,35579628.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,8.342.502,16.133,8.358.635,8342502.0,16133.0,8358635.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(4.001.586),5.405,(3.996.181),-4001586.0,5405.0,-3996181.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,4.340.916,21.538,4.362.454,4340916.0,21538.0,4362454.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,2.694.931,19.688,2.714.619,2694931.0,19688.0,2714619.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,1.909.705,19.688,1.929.393,1909705.0,19688.0,1929393.0
TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,(16.085.348),15.920,(16.069.428),-16085348.0,15920.0,-16069428.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,29.232.086,55.945,29.288.031,29232086.0,55945.0,29288031.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(12.147.237),(20.978),(12.168.215),-12147237.0,-20978.0,-12168215.0
TỔNG LỢI NHUẢN TRƯỚC THUẾ,TỔNG LỢI NHUẢN TRƯỚC THUẾ,TỔNG LỢI NHUẢN TRƯỚC THUẾ,17.084.849,34.967,17.119.816,17084849.0,34967.0,17119816.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,(3.315.063),(6.993),(3.322.056),-3315063.0,-6993.0,-3322056.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,(3.327.615),(6.993),(3.334.608),-3327615.0,-6993.0,-3334608.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,13.757.234,27.974,13.785.208,13757234.0,27974.0,13785208.0
Lợi ích của cổ đông thiểu số,Lợi ích của cổ đông thiểu số,Lợi ích của cổ đông thiểu số,63.646,1.360,65.006,63646.0,1360.0,65006.0
Lợi nhuận thuần của cổ đông Ngân hàng,Lợi nhuận thuần của cổ đông Ngân hàng,Lợi nhuận thuần của cổ đông Ngân hàng,13.693.588,26.614,13.720.202,13693588.0,26614.0,13720202.0
