row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng",Máy mócthiết bịtriệu đồng,Phương tiệnvận tàitriệu đồng,TSCĐ kháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng",numeric__Máy mócthiết bịtriệu đồng,numeric__Phương tiệnvận tàitriệu đồng,numeric__TSCĐ kháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm (trình bày lại),Nguyên giá > Số dư đầu năm (trình bày lại),Số dư đầu năm (trình bày lại),7.937.265,5.540.628,1.627.313,352.182,15.457.388,7937265.0,5540628.0,1627313.0,352182.0,15457388.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,179.685,144.136,155.281,26.559,505.661,179685.0,144136.0,155281.0,26559.0,505661.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,43.126,3.948,1.967,643,49.684,43126.0,3948.0,1967.0,643.0,49684.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(63.093),(60.118),(32.974),(3.929),(160.114),-63093.0,-60118.0,-32974.0,-3929.0,-160114.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,713,-,(713),-,,713.0,,-713.0,
Tăng/(giảm) khác,Nguyên giá > Tăng/(giảm) khác,Tăng/(giảm) khác,(27.753),(46.919),(4.911),266,(79.317),-27753.0,-46919.0,-4911.0,266.0,-79317.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,8.069.230,5.582.388,1.746.676,375.008,15.773.302,8069230.0,5582388.0,1746676.0,375008.0,15773302.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư đầu năm (trình bày lại),Giá trị hao mòn luỹ kế > Số dư đầu năm (trình bày lại),Số dư đầu năm (trình bày lại),2.522.396,5.029.943,1.180.338,301.503,9.034.180,2522396.0,5029943.0,1180338.0,301503.0,9034180.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,293.770,240.322,145.852,30.730,710.674,293770.0,240322.0,145852.0,30730.0,710674.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(21.090),(60.118),(32.890),(3.929),(118.027),-21090.0,-60118.0,-32890.0,-3929.0,-118027.0
Phân loại lại,Giá trị hao mòn luỹ kế > Phân loại lại,Phân loại lại,-,288,-,(288),-,,288.0,,-288.0,
Tăng/(giảm) khác,Giá trị hao mòn luỹ kế > Tăng/(giảm) khác,Tăng/(giảm) khác,2.541,(47.080),(1.488),(320),(46.347),2541.0,-47080.0,-1488.0,-320.0,-46347.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,2.797.617,5.163.355,1.291.812,327.696,9.580.480,2797617.0,5163355.0,1291812.0,327696.0,9580480.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm (trình bày lại),Giá trị còn lại > Tại ngày đầu năm (trình bày lại),Tại ngày đầu năm (trình bày lại),5.414.869,510.685,446.975,50.679,6.423.208,5414869.0,510685.0,446975.0,50679.0,6423208.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,5.271.613,419.033,454.864,47.312,6.192.822,5271613.0,419033.0,454864.0,47312.0,6192822.0
