row_label_raw,row_label_full,col_0,Vốn điều lệ triệu đồng,Thặng dư vốn cổ phần triệu đồng,Vốn chủ sở hữu khác triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,Quỹ dự phòng tài chính triệu đồng,Quỹ đầu tư phát triển triệu đồng,Chênh lệch tỷ giá hối doái triệu đồng,Lợi nhuận chưa phân phối triệu đồng,Lợi ích cổ đông không kiểm soát triệu đồng,Tổng cộng triệu đồng,numeric__Vốn điều lệ triệu đồng,numeric__Thặng dư vốn cổ phần triệu đồng,numeric__Vốn chủ sở hữu khác triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,numeric__Quỹ dự phòng tài chính triệu đồng,numeric__Quỹ đầu tư phát triển triệu đồng,numeric__Chênh lệch tỷ giá hối doái triệu đồng,numeric__Lợi nhuận chưa phân phối triệu đồng,numeric__Lợi ích cổ đông không kiểm soát triệu đồng,numeric__Tổng cộng triệu đồng
Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,37.234.046,8.974.683,515.908,3.210.462,6.322.449,77.150,626.014,19.832.683,561.423,77.354.818,37234046.0,8974683.0,515908.0,3210462.0,6322449.0,77150.0,626014.0,19832683.0,561423.0,77354818.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,13.720.202,65.006,13.785.208,,,,,,,,13720202.0,65006.0,13785208.0
Trích các quỹ trong năm,Trích các quỹ trong năm,Trích các quỹ trong năm,-,-,-,675.218,1.349.516,598,-,(2.025.332),-,-,,,,675218.0,1349516.0,598.0,,-2025332.0,,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,(3.568.790),(6.538),(3.575.328),,,,,,,,-3568790.0,-6538.0,-3575328.0
Giảm do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,Giảm do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,Giảm do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,-,-,-,-,-,-,(144.233),-,-,(144.233),,,,,,,-144233.0,,,-144233.0
Trả cổ tức năm 2020 cho cổ đông thiểu số,Trả cổ tức năm 2020 cho cổ đông thiểu số,Trả cổ tức năm 2020 cho cổ đông thiểu số,-,-,-,-,-,-,-,(1.915.509),(19.527),(1.935.036),,,,,,,,-1915509.0,-19527.0,-1935036.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,15,-,(6.965),(19.494),(3.466),-,(16.010),(285),(46.205),,15.0,,-6965.0,-19494.0,-3466.0,,-16010.0,-285.0,-46205.0
Số dư tại ngày 31 tháng 12 năm 2020(trình bày lại),Số dư tại ngày 31 tháng 12 năm 2020(trình bày lại),Số dư tại ngày 31 tháng 12 năm 2020(trình bày lại),37.234.046,8.974.698,515.908,3.878.715,7.652.471,74.282,481.781,26.027.244,600.079,85.439.224,37234046.0,8974698.0,515908.0,3878715.0,7652471.0,74282.0,481781.0,26027244.0,600079.0,85439224.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,10.823.460,-,-,-,-,-,-,(10.823.460),,-,10823460.0,,,,,,,-10823460.0,,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,14.088.760,126.582,14.215.342,,,,,,,,14088760.0,126582.0,14215342.0
Trích các quỹ trong năm,Trích các quỹ trong năm,Trích các quỹ trong năm,-,-,-,697.681,1.383.318,1.017,-,(2.082.016),-,-,,,,697681.0,1383318.0,1017.0,,-2082016.0,,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,(1.803.677),(10.297),(1.813.974),,,,,,,,-1803677.0,-10297.0,-1813974.0
Giảm do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,Giảm do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,Giảm do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,-,-,-,-,-,-,(236.550),-,-,(236.550),,,,,,,-236550.0,,,-236550.0
Trả cổ tức năm 2021,Trả cổ tức năm 2021,Trả cổ tức năm 2021,-,-,-,-,-,-,-,(3.844.600),(21.267),(3.865.867),,,,,,,,-3844600.0,-21267.0,-3865867.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,,-,-,(9.491),(4.728),,(74.120),(325),(88.664),,,,,-9491.0,-4728.0,,-74120.0,-325.0,-88664.0
Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,48.057.506,8.974.698,515.908,4.576.396,9.026.298,70.571,245.231,21.488.131,694.772,93.649.511,48057506.0,8974698.0,515908.0,4576396.0,9026298.0,70571.0,245231.0,21488131.0,694772.0,93649511.0
