row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh triệu đồng,Giá trị ghi sổ > Giữ đến ngày đáo hạn triệu đồng,Giá trị ghi sổ > Cho vay và phải thu triệu đồng,Giá trị ghi sổ > Sẵn sàng để bán triệu đồng,Giá trị ghi sổ > Tài sản và nợ khác hạch toán theo giá trị phân bổ triệu đồng,Giá trị ghi sổ > Tổng công giá trị ghi số triệu đồng,Giá trị ghi sổ > Giá trị hợp lý triệu đồng,numeric__Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh triệu đồng,numeric__Giá trị ghi sổ > Giữ đến ngày đáo hạn triệu đồng,numeric__Giá trị ghi sổ > Cho vay và phải thu triệu đồng,numeric__Giá trị ghi sổ > Sẵn sàng để bán triệu đồng,numeric__Giá trị ghi sổ > Tài sản và nợ khác hạch toán theo giá trị phân bổ triệu đồng,numeric__Giá trị ghi sổ > Tổng công giá trị ghi số triệu đồng,numeric__Giá trị ghi sổ > Giá trị hợp lý triệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",11.330.659,-,-,-,-,11.330.659,11.330.659,11330659.0,,,,,11330659.0,11330659.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,23.383.443,-,-,-,-,23.383.443,23.383.443,23383443.0,,,,,23383443.0,23383443.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,149.316.646,-,-,149.316.646,(*),,,149316646.0,,,149316646.0,
Chứng khoán kinh doanh,Tài sản > Chứng khoán kinh doanh,Chứng khoán kinh doanh,2.522.807,-,-,-,-,2.522.807,(*),2522807.0,,,,,2522807.0,
Các công cụ tài chính phải sinh và các tài sản tài chính,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính,Các công cụ tài chính phải sinh và các tài sản tài chính,1.454.790,-,-,-,-,1.454.790,(*),1454790.0,,,,,1454790.0,
Cho vay khách hàng,Tài sản > Cho vay khách hàng,Cho vay khách hàng,-,-,1.130.667.767,-,-,1.130.667.767,(*),,,1130667767.0,,,1130667767.0,
Chứng khoán sẵn sàng để bán,Tài sản > Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,-,-,-,174.973.469,-,174.973.469,(*),,,,174973469.0,,174973469.0,
Chứng khoán giữ đến ngày đáo hạn,Tài sản > Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,-,2.696.832,-,-,-,2.696.832,(*),,2696832.0,,,,2696832.0,
Đầu tư dài hạn khác,Tài sản > Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,240.662,-,240.662,(*),,,,240662.0,,240662.0,
Tài sản tài chính khác,Tài sản > Tài sản tài chính khác,Tài sản tài chính khác,-,-,47.493.717,-,-,47.493.717,(*),,,47493717.0,,,47493717.0,
,,,38.691.699,2.696.832,1.327.478.130,175.214.131,-,1.544.080.792,,38691699.0,2696832.0,1327478130.0,175214131.0,,1544080792.0,
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,-,33.294.404,33.294.404,(*),,,,,33294404.0,33294404.0,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,138.833.846,138.833.846,(*),,,,,138833846.0,138833846.0,
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,1.161.848.113,1.161.848.113,(*),,,,,1161848113.0,1161848113.0,
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",-,-,-,-,2.527.930,2.527.930,(*),,,,,2527930.0,2527930.0,
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,64.496.785,64.496.785,(*),,,,,64496785.0,64496785.0,
Các khoản nợ tài chính khác,Nợ phải trả > Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,34.942.482,34.942.482,(*),,,,,34942482.0,34942482.0,
,,,-,-,-,-,1.435.943.560,1.435.943.560,,,,,,1435943560.0,1435943560.0,
