row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2021triệu đồng,Ngày 31 tháng 12năm 2020(trình bày lại)triệu đồng,numeric__Ngày 31 tháng 12năm 2021triệu đồng,numeric__Ngày 31 tháng 12năm 2020(trình bày lại)triệu đồng
"Các khoản thu, chỉ hộ các tổ chức khác","Các khoản thu, chỉ hộ các tổ chức khác","Các khoản thu, chỉ hộ các tổ chức khác",4.948.056,1.375.631,4948056.0,1375631.0
Tiền giữ hộ và chờ thanh toán,Tiền giữ hộ và chờ thanh toán,Tiền giữ hộ và chờ thanh toán,198.806,79.149,198806.0,79149.0
Thuế thu nhập doanh nghiệp phải trả (Thuyết minh số 25),Thuế thu nhập doanh nghiệp phải trả (Thuyết minh số 25),Thuế thu nhập doanh nghiệp phải trả (Thuyết minh số 25),721.321,1.309.696,721321.0,1309696.0
Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,62.446,1.528.300,62446.0,1528300.0
Phải trả khác liên quan đến nghiệp vụ chứng khoán,Phải trả khác liên quan đến nghiệp vụ chứng khoán,Phải trả khác liên quan đến nghiệp vụ chứng khoán,1.229.010,1.210.143,1229010.0,1210143.0
Thuế và phí phải trả,Thuế và phí phải trả,Thuế và phí phải trả,218.575,274.491,218575.0,274491.0
Phải trả NHNN do thu hồi nợ đã xóa,Phải trả NHNN do thu hồi nợ đã xóa,Phải trả NHNN do thu hồi nợ đã xóa,76.007,76.007,76007.0,76007.0
Các khoản phải trả liên quan đến hoạt động tài trợ thương mại,Các khoản phải trả liên quan đến hoạt động tài trợ thương mại,Các khoản phải trả liên quan đến hoạt động tài trợ thương mại,5.996,8.904,5996.0,8904.0
Chuyển tiền phải trả,Chuyển tiền phải trả,Chuyển tiền phải trả,347.380,207.440,347380.0,207440.0
Cổ tức phải trả cho cổ đông,Cổ tức phải trả cho cổ đông,Cổ tức phải trả cho cổ đông,3.844.600,-,3844600.0,
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,1.477.900,272.296,1477900.0,272296.0
,,,13.130.097,6.342.057,13130097.0,6342057.0
