row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2021 triệu đồng,Ngày 31 tháng 12 năm 2020 (trình bày lại) triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2021 triệu đồng,numeric__Ngày 31 tháng 12 năm 2020 (trình bày lại) triệu đồng
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,NỘ PHẢI TRẢ > Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,17,33.294.404,44.597.188,17.0,33294404.0,44597188.0
Tiền gửi và vay các tổ chức tín dụng khác,NỘ PHẢI TRẢ > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,18,138.833.846,128.519.115,18.0,138833846.0,128519115.0
Tiền gửi của các tổ chức tín dụng khác,NỘ PHẢI TRẢ > Tiền gửi của các tổ chức tín dụng khác,Tiền gửi của các tổ chức tín dụng khác,18.1,33.670.804,98.537.440,181.0,33670804.0,98537440.0
Vay các tổ chức tín dụng khác,NỘ PHẢI TRẢ > Vay các tổ chức tín dụng khác,Vay các tổ chức tín dụng khác,18.2,105.163.042,29.981.675,182.0,105163042.0,29981675.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,19,1.161.848.113,990.331.285,19.0,1161848113.0,990331285.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","NỘ PHẢI TRẢ > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",20,2.527.930,2.733.251,20.0,2527930.0,2733251.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,21,64.496.785,59.875.570,21.0,64496785.0,59875570.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,,36.936.809,30.014.345,,36936809.0,30014345.0
"Các khoản lãi, phí phải trả","NỘ PHẢI TRẢ > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",,16.867.319,16.085.370,,16867319.0,16085370.0
Thuế TNDN hoãn lại phải trả,NỘ PHẢI TRẢ > Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,23.2,-,38.008,232.0,,38008.0
Các khoản phải trả và công nợ khác,NỘ PHẢI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,22.1,19.015.117,13.120.952,221.0,19015117.0,13120952.0
Dự phòng rủi ro khác,NỘ PHẢI TRẢ > Dự phòng rủi ro khác,Dự phòng rủi ro khác,,1.054.373,770.015,,1054373.0,770015.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,1.437.937.887,1.256.070.754,,1437937887.0,1256070754.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,
Vốn của tổ chức tín dụng,VỐN CHỦ SỞ HỮU > Vốn của tổ chức tín dụng,Vốn của tổ chức tín dụng,,57.548.112,46.724.652,,57548112.0,46724652.0
- Vốn điều lệ,VỐN CHỦ SỞ HỮU > - Vốn điều lệ,- Vốn điều lệ,,48.057.506,37.234.046,,48057506.0,37234046.0
- Thặng dư vốn cổ phần,VỐN CHỦ SỞ HỮU > - Thặng dư vốn cổ phần,- Thặng dư vốn cổ phần,,8.974.698,8.974.698,,8974698.0,8974698.0
- Vốn khác,VỐN CHỦ SỞ HỮU > - Vốn khác,- Vốn khác,,515.908,515.908,,515908.0,515908.0
Các quỹ dự trữ,VỐN CHỦ SỞ HỮU > Các quỹ dự trữ,Các quỹ dự trữ,,13.673.265,11.605.468,,13673265.0,11605468.0
Chênh lệch tỷ giá hối đoái,VỐN CHỦ SỞ HỮU > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,,245.231,481.781,,245231.0,481781.0
Lợi nhuận chưa phân phối,VỐN CHỦ SỞ HỮU > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,,21.488.131,26.027.244,,21488131.0,26027244.0
Lợi ích của cổ đông không kiểm soát,VỐN CHỦ SỞ HỮU > Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,,694.772,600.079,,694772.0,600079.0
TỔNG VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,26,93.649.511,85.439.224,26.0,93649511.0,85439224.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,1.531.587.398,1.341.509.978,,1531587398.0,1341509978.0
