row_label_raw,row_label_full,col_0,2021 triệu đồng,2020 triệu đồng,numeric__2021 triệu đồng,numeric__2020 triệu đồng
"Chi phí thuế, lệ phí và phí","Chi phí thuế, lệ phí và phí","Chi phí thuế, lệ phí và phí",22.284,21.028,22284.0,21028.0
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,10.013.309,9.261.722,10013309.0,9261722.0
Chi lương và phụ cấp,Chi lương và phụ cấp,Chi lương và phụ cấp,8.183.156,7.425.497,8183156.0,7425497.0
Các khoản chi đóng góp theo lương,Các khoản chi đóng góp theo lương,Các khoản chi đóng góp theo lương,590.312,570.425,590312.0,570425.0
Chi trợ cấp,Chi trợ cấp,Chi trợ cấp,1.567,4.718,1567.0,4718.0
Chi khác,Chi khác,Chi khác,1.238.274,1.261.082,1238274.0,1261082.0
Chi về tài sản,Chi về tài sản,Chi về tài sản,2.903.591,2.530.639,2903591.0,2530639.0
Khấu hao tài sản cố định,Khấu hao tài sản cố định,Khấu hao tài sản cố định,1.010.988,969.995,1010988.0,969995.0
Chi khác về tài sản,Chi khác về tài sản,Chi khác về tài sản,1.892.603,1.560.644,1892603.0,1560644.0
Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,3.387.571,3.252.080,3387571.0,3252080.0
Chi công tác phí,Chi công tác phí,Chi công tác phí,106.724,136.945,106724.0,136945.0
Chi các hoạt động đoàn thể của TCTD,Chi các hoạt động đoàn thể của TCTD,Chi các hoạt động đoàn thể của TCTD,11.400,15.769,11400.0,15769.0
Chi khác cho hoạt động quản lý,Chi khác cho hoạt động quản lý,Chi khác cho hoạt động quản lý,3.269.447,3.099.366,3269447.0,3099366.0
Chi bảo hiểm tiền gửi của khách hàng,Chi bảo hiểm tiền gửi của khách hàng,Chi bảo hiểm tiền gửi của khách hàng,772.469,722.082,772469.0,722082.0
Chi phí dự phòng (không tính chi phí dự phòng rủi ro tín dụng nội và ngoại bảng; chi phí dự phòng rủi ro chứng khoán),Chi phí dự phòng (không tính chi phí dự phòng rủi ro tín dụng nội và ngoại bảng; chi phí dự phòng rủi ro chứng khoán),Chi phí dự phòng (không tính chi phí dự phòng rủi ro tín dụng nội và ngoại bảng; chi phí dự phòng rủi ro chứng khoán),86.626,281.877,86626.0,281877.0
,,,17.185.850,16.069.428,17185850.0,16069428.0
