row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2021triệu đồng,%,Ngày 31 tháng 12năm 2020triệu đồng,%_1,numeric__Ngày 31 tháng 12năm 2021triệu đồng,numeric__%,numeric__Ngày 31 tháng 12năm 2020triệu đồng,numeric__%_1
Công ty Nhà nước,Công ty Nhà nước,Công ty Nhà nước,169.750.631,"14,61",151.784.675,"15,33",169750631.0,14.61,151784675.0,15.33
Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,24.860.376,"2,14",17.775.617,"1,79",24860376.0,2.14,17775617.0,1.79
Công ty TNHH hai thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc,Công ty TNHH hai thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc,Công ty TNHH hai thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc,1.220.648,"0,11",1.270.315,"0,13",1220648.0,0.11,1270315.0,0.13
Nhà nước giữ quyền chi phối,Nhà nước giữ quyền chi phối,Nhà nước giữ quyền chi phối,41.655.903,"3,59",33.523.426,"3,39",41655903.0,3.59,33523426.0,3.39
Công ty TNHH khácCông ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,Công ty TNHH khácCông ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,Công ty TNHH khácCông ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,48.873.467,"4,21",39.700.557,"4,01",48873467.0,4.21,39700557.0,4.01
Công ty Cổ phần khác,Công ty Cổ phần khác,Công ty Cổ phần khác,95.913.738,"8,26",65.837.792,"6,65",95913738.0,8.26,65837792.0,6.65
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,8.933.336,"0,77",8.189.560,"0,83",8933336.0,0.77,8189560.0,0.83
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,1.605.562,"0,14",3.867.391,"0,39",1605562.0,0.14,3867391.0,0.39
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,114.923.002,"9,89",99.332.249,"10,03",114923002.0,9.89,99332249.0,10.03
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,465.263,"0,04",1.616.504,"0,16",465263.0,0.04,1616504.0,0.16
"Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",563.072.219,"48,46",497.404.616,"50,23",563072219.0,48.46,497404616.0,50.23
"Đơn vị hành chính sự nghiệp, đang, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, đang, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, đang, đoàn thể và hiệp hội",45.382.561,"3,91",39.967.629,"4,04",45382561.0,3.91,39967629.0,4.04
Các thành phần kinh tế khác,Các thành phần kinh tế khác,Các thành phần kinh tế khác,45.191.407,"3,89",30.060.954,"3,02",45191407.0,3.89,30060954.0,3.02
,,,1.161.848.113,100,990.331.285,100,1161848113.0,100.0,990331285.0,100.0
