row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2021triệu đồng,%,Ngày 31 tháng 12năm 2020triệu đồng,%_1,numeric__Ngày 31 tháng 12năm 2021triệu đồng,numeric__%,numeric__Ngày 31 tháng 12năm 2020triệu đồng,numeric__%_1
Công ty Nhà nước,Công ty Nhà nước,Công ty Nhà nước,51.388.764,"4,54",54.570.720,"5,37",51388764.0,4.54,54570720.0,5.37
Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,24.016.904,"2,12",29.301.967,"2,89",24016904.0,2.12,29301967.0,2.89
Công ty TNHH hai thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,Công ty TNHH hai thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,Công ty TNHH hai thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,7.015.249,"0,62",7.633.633,"0,75",7015249.0,0.62,7633633.0,0.75
Công ty TNHH khác,Công ty TNHH khác,Công ty TNHH khác,254.976.627,"22,55",235.071.957,"23,15",254976627.0,22.55,235071957.0,23.15
Công ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,29.986.650,"2,65",29.717.803,"2,93",29986650.0,2.65,29717803.0,2.93
Công ty Cổ phần khác,Công ty Cổ phần khác,Công ty Cổ phần khác,324.836.944,"28,73",280.725.913,"27,65",324836944.0,28.73,280725913.0,27.65
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,284.269,"0,03",363.403,"0,04",284269.0,0.03,363403.0,0.04
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,13.249.546,"1,17",14.020.853,"1,38",13249546.0,1.17,14020853.0,1.38
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,58.031.369,"5,13",55.290.088,"5,45",58031369.0,5.13,55290088.0,5.45
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,1.436.474,"0,13",1.460.651,"0,14",1436474.0,0.13,1460651.0,0.14
"Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",362.632.638,"32,07",304.459.440,"29,99",362632638.0,32.07,304459440.0,29.99
"Đơn vị hành chính sự nghiệp, đẳng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, đẳng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, đẳng, đoàn thể và hiệp hội",993.055,"0,09",1.547.265,"0,15",993055.0,0.09,1547265.0,0.15
Các thành phần kinh tế khác,Các thành phần kinh tế khác,Các thành phần kinh tế khác,1.819.278,"0,17",1.169.577,"0,11",1819278.0,0.17,1169577.0,0.11
,,,1.130.667.767,100,1.015.333.270,100,1130667767.0,100.0,1015333270.0,100.0
