row_label_raw,row_label_full,col_0,2021triệu đồng,2020(trình bày lại)triệu đồng,numeric__2021triệu đồng,numeric__2020(trình bày lại)triệu đồng
Lợi nhuận thuần trước thuếCộng/(trừ),Lợi nhuận thuần trước thuếCộng/(trừ),Lợi nhuận thuần trước thuếCộng/(trừ),17.589.156,17.119.816,17589156.0,17119816.0
- Thu nhập từ cổ tức không chịu thuế,- Thu nhập từ cổ tức không chịu thuế,- Thu nhập từ cổ tức không chịu thuế,(401.110),(352.360),-401110.0,-352360.0
- Lợi nhuận của công ty con,- Lợi nhuận của công ty con,- Lợi nhuận của công ty con,(1.188.660),(701.642),-1188660.0,-701642.0
- Thu nhập từ lợi ích tăng lên tại các công ty liên doanh,- Thu nhập từ lợi ích tăng lên tại các công ty liên doanh,- Thu nhập từ lợi ích tăng lên tại các công ty liên doanh,(14.804),(114.261),-14804.0,-114261.0
- Biến động dự phòng cho các khoản cho vay và trái phiếu khi hợp nhất báo cáo tài chính,- Biến động dự phòng cho các khoản cho vay và trái phiếu khi hợp nhất báo cáo tài chính,- Biến động dự phòng cho các khoản cho vay và trái phiếu khi hợp nhất báo cáo tài chính,111.196,9.783,111196.0,9783.0
- Khác,- Khác,- Khác,94.623,30.907,94623.0,30907.0
Thu nhập chịu thuế ước tính trong năm,Thu nhập chịu thuế ước tính trong năm,Thu nhập chịu thuế ước tính trong năm,16.190.402,15.992.243,16190402.0,15992243.0
Chi phí thuế TNDN của Ngân hàng mẹ theo thuế suất hiện hành,Chi phí thuế TNDN của Ngân hàng mẹ theo thuế suất hiện hành,Chi phí thuế TNDN của Ngân hàng mẹ theo thuế suất hiện hành,3.238.080,3.198.449,3238080.0,3198449.0
Chi phí thuế TNDN của công ty con,Chi phí thuế TNDN của công ty con,Chi phí thuế TNDN của công ty con,174.080,123.607,174080.0,123607.0
Chi phí thuế TNDN trong năm,Chi phí thuế TNDN trong năm,Chi phí thuế TNDN trong năm,3.412.160,3.322.056,3412160.0,3322056.0
Thuế TNDN phải trả đầu năm,Thuế TNDN phải trả đầu năm,Thuế TNDN phải trả đầu năm,1.309.696,619.096,1309696.0,619096.0
Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,(4.000.535),(2.631.634),-4000535.0,-2631634.0
Điều chỉnh chênh lệch thuế TNDN của các năm trước,Điều chỉnh chênh lệch thuế TNDN của các năm trước,Điều chỉnh chênh lệch thuế TNDN của các năm trước,-,177,,177.0
Thuế TNDN phải trả cuối năm,Thuế TNDN phải trả cuối năm,Thuế TNDN phải trả cuối năm,721.321,1.309.696,721321.0,1309696.0
