row_label_raw,row_label_full,Số dư tại ngày 1 tháng 1 năm 2020 > Dự phòng rủi ro (hoàn nhập)/trích lậptrong năm,Chứng khoánđầu tư sẵn sàngđể bántriệu đồng > 1.292.424 > (352.934),Chứng khoánđầu tư giữ đếngày đáo hạntriệu đồng > 6.591.919 > 5.820.528,Tổngtriệu đồng > 7.884.343 > 5.467.594,numeric__Chứng khoánđầu tư sẵn sàngđể bántriệu đồng > 1.292.424 > (352.934),numeric__Chứng khoánđầu tư giữ đếngày đáo hạntriệu đồng > 6.591.919 > 5.820.528,numeric__Tổngtriệu đồng > 7.884.343 > 5.467.594
Sử dụng dự phòng xử lý rủi ro tín dụng,Sử dụng dự phòng xử lý rủi ro tín dụng,Sử dụng dự phòng xử lý rủi ro tín dụng,(590.000),(12.409.321),(12.999.321),-590000.0,-12409321.0,-12999321.0
Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,349.490,3.126,352.616,349490.0,3126.0,352616.0
