row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2021 triệu đồng,Ngày 31 tháng 12 năm 2020 (trình bày lại) triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2021 triệu đồng,numeric__Ngày 31 tháng 12 năm 2020 (trình bày lại) triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,11.330.659,9.930.181,5.0,11330659.0,9930181.0
Tiền gửi tại Ngân hàng Nhà nước,TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,6,23.383.443,57.616.650,6.0,23383443.0,57616650.0
Tiền gửi và cho vay các tổ chức tín dụng khác,TÀI SẢN > Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,7,149.316.646,102.532.818,7.0,149316646.0,102532818.0
Tiền gửi tại các tổ chức tín dụng khác,TÀI SẢN > Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,,129.799.364,92.628.245,,129799364.0,92628245.0
Cho vay các tổ chức tín dụng khác,TÀI SẢN > Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,,19.517.282,9.904.573,,19517282.0,9904573.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,8,2.475.309,5.601.747,8.0,2475309.0,5601747.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,,2.522.807,5.723.160,,2522807.0,5723160.0
Dự phòng rủi ro chứng khoán kinh doanh,TÀI SẢN > Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,,(47.498),(121.413),,-47498.0,-121413.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,TÀI SẢN > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,1.454.790,137.122,9.0,1454790.0,137122.0
