row_label_raw,row_label_full,col_0,2021triệu đồng,2020triệu đồng(trình bày lại),numeric__2021triệu đồng,numeric__2020triệu đồng(trình bày lại)
Lợi nhuận thuần của chủ sở hữu,Lợi nhuận thuần của chủ sở hữu,Lợi nhuận thuần của chủ sở hữu,14.088.760,13.720.202,14088760.0,13720202.0
"Trích lập các quỹ khen thưởng, phúc lợi (*)","Trích lập các quỹ khen thưởng, phúc lợi (*)","Trích lập các quỹ khen thưởng, phúc lợi (*)",-,(1.803.677),,-1803677.0
Lợi nhuận phân bổ cho cổ đông sở hữu (*)cổ phiếu phổ thông,Lợi nhuận phân bổ cho cổ đông sở hữu (*)cổ phiếu phổ thông,Lợi nhuận phân bổ cho cổ đông sở hữu (*)cổ phiếu phổ thông,14.088.760,11.916.525,14088760.0,11916525.0
Số cổ phiếu phổ thông để tính lãi cơ bản,Số cổ phiếu phổ thông để tính lãi cơ bản,Số cổ phiếu phổ thông để tính lãi cơ bản,Số cổ phiếu phổ thông để tính lãi cơ bản,Số cổ phiếu phổ thông để tính lãi cơ bản,,
,,,2021Cổ phiếu,2020Cổ phiếu,,
Số cổ phiếu phổ thông đã phát hành đầu năm mang sang,Số cổ phiếu phổ thông để tính lãi cơ bản > Số cổ phiếu phổ thông đã phát hành đầu năm mang sang,Số cổ phiếu phổ thông đã phát hành đầu năm mang sang,3.723.404.556,3.723.404.556,3723404556.0,3723404556.0
Ảnh hưởng của số cổ phiếu đã phát hành trong năm,Số cổ phiếu phổ thông để tính lãi cơ bản > Ảnh hưởng của số cổ phiếu đã phát hành trong năm,Ảnh hưởng của số cổ phiếu đã phát hành trong năm,486.314.391,-,486314391.0,
Số bình quân gia quyền của cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu,Số cổ phiếu phổ thông để tính lãi cơ bản > Số bình quân gia quyền của cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu,Số bình quân gia quyền của cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu,4.209.718.947,3.723.404.556,4209718947.0,3723404556.0
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,,
,,,2021VND/Cổ phiếu,2020VND/Cổ phiếu(trình bày lại),,
Lãi cơ bản trên cổ phiếu (*),Lãi cơ bản trên cổ phiếu > Lãi cơ bản trên cổ phiếu (*),Lãi cơ bản trên cổ phiếu (*),3.347,3.200,3347.0,3200.0
