row_label_raw,row_label_full,col_0,2021 triệu đồng,2020 (trình bày lại) triệu đồng,numeric__2021 triệu đồng,numeric__2020 (trình bày lại) triệu đồng
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,4.516.269,2.714.619,4516269.0,2714619.0
Thu từ nợ xấu đã được xử lý,Thu từ nợ xấu đã được xử lý,Thu từ nợ xấu đã được xử lý,3.244.952,1.751.795,3244952.0,1751795.0
Thu từ các công cụ tài chính phải sinh khác,Thu từ các công cụ tài chính phải sinh khác,Thu từ các công cụ tài chính phải sinh khác,820.321,502.215,820321.0,502215.0
"Thu từ chuyển nhượng, thanh lý tài sản","Thu từ chuyển nhượng, thanh lý tài sản","Thu từ chuyển nhượng, thanh lý tài sản",7.371,108.163,7371.0,108163.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,443.625,352.446,443625.0,352446.0
Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,(1.118.203),(785.226),-1118203.0,-785226.0
Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,(545.977),(353.120),-545977.0,-353120.0
"Chi về chuyển nhượng, thanh lý tài sản","Chi về chuyển nhượng, thanh lý tài sản","Chi về chuyển nhượng, thanh lý tài sản",(2.877),(53.715),-2877.0,-53715.0
Chi phí khác,Chi phí khác,Chi phí khác,(569.349),(378.391),-569349.0,-378391.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,3.398.066,1.929.393,3398066.0,1929393.0
