row_label_raw,row_label_full,Chỉ tiêu,Chỉ tiêu_1,Dịch vụ tài chính ngân hàng,Dịch vụ tài chính phi ngân hàng,Khác,Đơn vị: triệu đồng > Bù trừ,Đơn vị: triệu đồng > Tổng cộng,numeric__Chỉ tiêu_1,numeric__Dịch vụ tài chính ngân hàng,numeric__Dịch vụ tài chính phi ngân hàng,numeric__Khác,numeric__Đơn vị: triệu đồng > Bù trừ,numeric__Đơn vị: triệu đồng > Tổng cộng
I.,I.,I.,Doanh thu,99.608.023,3.396.433,2.591.757,(844.944),104.751.269,,99608023.0,3396433.0,2591757.0,-844944.0,104751269.0
1.,1.,1.,Doanh thu lãi,83.980.616,520.665,227.978,(100.957),84.628.302,,83980616.0,520665.0,227978.0,-100957.0,84628302.0
,,,- Doanh thu lãi từ khách hàng bên ngoài,83.922.826,493.963,223.860,(12.347),84.628.302,,83922826.0,493963.0,223860.0,-12347.0,84628302.0
,,,- Doanh thu lãi từ nội bộ,57.790,26.702,4.118,(88.610),-,,57790.0,26702.0,4118.0,-88610.0,
2.,2.,2.,Thu nhập từ hoạt động dịch vụ,7.081.895,2.728.767,5.166,(243.150),9.572.678,,7081895.0,2728767.0,5166.0,-243150.0,9572678.0
3.,3.,3.,Thu nhập từ hoạt động kinh doanh khác,8.545.512,147.001,2.358.613,(500.837),10.550.289,,8545512.0,147001.0,2358613.0,-500837.0,10550289.0
II.,II.,II.,Chi phí,(64.133.201),(2.896.814),(2.234.022),483.552,(68.780.485),,-64133201.0,-2896814.0,-2234022.0,483552.0,-68780485.0
1.,1.,1.,Chi phí lãi,(42.742.891),(60.949),(136.954),100.957,(42.839.837),,-42742891.0,-60949.0,-136954.0,100957.0,-42839837.0
,,,- Chi phí lãi từ khách hàng bên ngoài,(42.686.101),(16.785),(136.951),-,(42.839.837),,-42686101.0,-16785.0,-136951.0,,-42839837.0
,,,- Chi phí lãi từ nội bộ,(56.790),(44.164),(3),100.957,-,,-56790.0,-44164.0,-3.0,100957.0,
2.,2.,2.,Chi phí khấu hao TSCĐ,(989.461),(11.858),(9.669),-,(1.010.988),,-989461.0,-11858.0,-9669.0,,-1010988.0
3.,3.,3.,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(20.400.849),(2.824.007),(2.087.399),382.595,(24.929.660),,-20400849.0,-2824007.0,-2087399.0,382595.0,-24929660.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,35.474.822,499.619,357.735,(361.392),35.970.784,,35474822.0,499619.0,357735.0,-361392.0,35970784.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(18.371.712),(33.294),10.619,12.761,(18.381.626),,-18371712.0,-33294.0,10619.0,12761.0,-18381626.0
Kết quả kinh doanh bộ phận trước thuế,Kết quả kinh doanh bộ phận trước thuế,Kết quả kinh doanh bộ phận trước thuế,Kết quả kinh doanh bộ phận trước thuế,17.103.110,466.325,368.354,(348.631),17.589.158,,17103110.0,466325.0,368354.0,-348631.0,17589158.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(3.261.251),(89.804),(61.105),-,(3.412.160),,-3261251.0,-89804.0,-61105.0,,-3412160.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,-,504,37.842,-,38.346,,,504.0,37842.0,,38346.0
Kết quả kinh doanh bộ phận sau thuế,Kết quả kinh doanh bộ phận sau thuế,Kết quả kinh doanh bộ phận sau thuế,Kết quả kinh doanh bộ phận sau thuế,13.841.859,377.025,345.091,(348.631),14.215.344,,13841859.0,377025.0,345091.0,-348631.0,14215344.0
III.,III.,III.,Tài sản,1.522.276.411,8.866.892,7.142.222,(6.698.127),1.531.587.398,,1522276411.0,8866892.0,7142222.0,-6698127.0,1531587398.0
1.,1.,1.,Tiền mặt,11.298.386,782,31.491,-,11.330.659,,11298386.0,782.0,31491.0,,11330659.0
2.,2.,2.,Tài sản cố định,10.368.025,82.193,45.934,-,10.496.152,,10368025.0,82193.0,45934.0,,10496152.0
3.,3.,3.,Tài sản khác,1.500.610.000,8.783.917,7.064.797,(6.698.127),1.509.760.587,,1500610000.0,8783917.0,7064797.0,-6698127.0,1509760587.0
IV.,IV.,IV.,Nợ phải trả,1.430.905.358,5.722.787,5.429.679,(4.119.938),1.437.937.886,,1430905358.0,5722787.0,5429679.0,-4119938.0,1437937886.0
1.,1.,1.,Nợ phải trả khách hàng bên ngoài,1.428.842.535,4.186.040,5.389.352,(4.115.260),1.434.302.667,,1428842535.0,4186040.0,5389352.0,-4115260.0,1434302667.0
2.,2.,2.,Nợ phải trả nội bộ,2.062.823,1.536.747,40.327,(4.678),3.635.219,,2062823.0,1536747.0,40327.0,-4678.0,3635219.0
