row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1.,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1.,1.,Tiền thu từ đi vay,33,77.920.652.009.029,87.242.249.563.794,,33.0,77920652009029.0,87242249563794.0
2.,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2.,2.,Tiền trả nợ gốc vay,34,(79.860.258.019.843),(89.380.038.815.045),,34.0,-79860258019843.0,-89380038815045.0
3.,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3.,3.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(1.344.916.967.679),(500.000.000.000),,36.0,-1344916967679.0,-500000000000.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(3.284.522.978.493),(2.637.789.251.251),,40.0,-3284522978493.0,-2637789251251.0
,,,Lưu chuyển tiền thuần trong năm (50=20+30+40),50,6.515.049.891.938,3.547.453.114.117,,50.0,6515049891938.0,3547453114117.0
,,,Tiền và tương đương tiền đầu năm,60,16.314.076.389.628,12.766.884.570.949,,60.0,16314076389628.0,12766884570949.0
,,,Ảnh hưởng của thay đối tỷ giá hối đoái quy đổi ngoại tệ,61,(11.081.503.171),(261.295.438),,61.0,-11081503171.0,-261295438.0
,,,Tiền và tương đương tiền cuối năm (70=50+60+61),70,22.818.044.778.395,16.314.076.389.628,,70.0,22818044778395.0,16314076389628.0
Lê Thị Hồng Trâm Người lập biểu,Lê Thị Hồng Trâm Người lập biểu,Lê Thị Hồng Trâm Người lập biểu,Lê Thị Hồng Trâm Người lập biểu,Bạch Đức Long Kế toán trưởng,,,,,,
Lê Thị Hồng Trâm Người lập biểu,Lê Thị Hồng Trâm Người lập biểu,Lê Thị Hồng Trâm Người lập biểu,Lê Thị Hồng Trâm Người lập biểu,Bạch Đức Long Kế toán trưởng,Bùi Ngọc Dương Tổng Giám đốc,Bùi Ngọc Dương Tổng Giám đốc,,,,
