row_label_raw,row_label_full,col_0,Bản quyền bằng sáng chế,Phần mềm máy tính,Tài sản cố định vô hình khác,Tổng,numeric__Bản quyền bằng sáng chế,numeric__Phần mềm máy tính,numeric__Tài sản cố định vô hình khác,numeric__Tổng
,,,VND,VND,VND,VND,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,438.606.719.617,344.699.184.000,32.703.172.505,816.009.076.122,438606719617.0,344699184000.0,32703172505.0,816009076122.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,26.083.189.000,-,26.083.189.000,,26083189000.0,,26083189000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,438.606.719.617,370.782.373.000,32.703.172.505,842.092.265.122,438606719617.0,370782373000.0,32703172505.0,842092265122.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,308.441.116.315,260.906.188.957,28.637.194.836,597.984.500.108,308441116315.0,260906188957.0,28637194836.0,597984500108.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,15.475.294.980,37.585.650.347,479.563.620,53.540.508.947,15475294980.0,37585650347.0,479563620.0,53540508947.0
Tăng khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng khác,Tăng khác,-,377.033.340,-,377.033.340,,377033340.0,,377033340.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,323.916.411.295,298.868.872.644,29.116.758.456,651.902.042.395,323916411295.0,298868872644.0,29116758456.0,651902042395.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,130.165.603.302,83.792.995.043,4.065.977.669,218.024.576.014,130165603302.0,83792995043.0,4065977669.0,218024576014.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,114.690.308.322,71.913.500.356,3.586.414.049,190.190.222.727,114690308322.0,71913500356.0,3586414049.0,190190222727.0
