row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúc,Máy mócvà thiết bị,"Phương tiện vận tải,thiết bị truyền dẫn",Thiết bị vănphòng,Khác,Tổng,numeric__Nhà xưởngvà vật kiến trúc,numeric__Máy mócvà thiết bị,"numeric__Phương tiện vận tải,thiết bị truyền dẫn",numeric__Thiết bị vănphòng,numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,6.413.441.907.665,38.313.054.085.708,167.267.242.764,566.871.235.925,554.667.912,45.461.189.139.974,6413441907665.0,38313054085708.0,167267242764.0,566871235925.0,554667912.0,45461189139974.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,1.953.689.682,102.236.865.314,155.000.000,109.000.000,-,104.454.554.996,1953689682.0,102236865314.0,155000000.0,109000000.0,,104454554996.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,-,-,1.234.000.000,-,1.234.000.000,,,,1234000000.0,,1234000000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.415.395.597.347,38.415.290.951.022,167.422.242.764,568.214.235.925,554.667.912,45.566.877.694.970,6415395597347.0,38415290951022.0,167422242764.0,568214235925.0,554667912.0,45566877694970.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,3.126.831.878.193,23.095.873.169.386,115.251.501.661,492.098.806.103,540.667.935,26.830.596.023.278,3126831878193.0,23095873169386.0,115251501661.0,492098806103.0,540667935.0,26830596023278.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,198.309.724.246,1.850.793.802.450,9.931.754.287,(5.511.908.295),13.999.977,2.053.537.372.665,198309724246.0,1850793802450.0,9931754287.0,-5511908295.0,13999977.0,2053537372665.0
Tăng khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng khác,Tăng khác,7.457.032,59.401.416,-,134.901.332,-,201.759.780,7457032.0,59401416.0,,134901332.0,,201759780.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,3.325.149.059.471,24.946.726.373.252,125.183.255.948,486.721.799.140,554.667.912,28.884.335.155.723,3325149059471.0,24946726373252.0,125183255948.0,486721799140.0,554667912.0,28884335155723.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,3.286.610.029.472,15.217.180.916.322,52.015.741.103,74.772.429.822,13.999.977,18.630.593.116.696,3286610029472.0,15217180916322.0,52015741103.0,74772429822.0,13999977.0,18630593116696.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,3.090.246.537.876,13.468.564.577.770,42.238.986.816,81.492.436.785,-,16.682.542.539.247,3090246537876.0,13468564577770.0,42238986816.0,81492436785.0,,16682542539247.0
