row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Quỹ Đầu tư Phát triển,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Quỹ Đầu tư Phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,31.004.996.160.000,-,33.549.448.931,31.038.545.608.931,31004996160000.0,,33549448931.0,31038545608931.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,6.776.650.740.974,6.776.650.740.974,,,6776650740974.0,6776650740974.0
"Trích Quỹ khen thưởng,phúc lợi từ Lợi nhuận sauthuế thu nhập doanhnghiệp của năm 2021","Trích Quỹ khen thưởng,phúc lợi từ Lợi nhuận sauthuế thu nhập doanhnghiệp của năm 2021","Trích Quỹ khen thưởng,phúc lợi từ Lợi nhuận sauthuế thu nhập doanhnghiệp của năm 2021",-,-,(176.888.900.000),(176.888.900.000),,,-176888900000.0,-176888900000.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,31.004.996.160.000,-,6.633.311.289.905,37.638.307.449.905,31004996160000.0,,6633311289905.0,37638307449905.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,14.836.240.795.029,14.836.240.795.029,,,14836240795029.0,14836240795029.0
"Trích Quỹ khen thưởng,phúc lợi và Quỹ thưởngBan điều hành (i)","Trích Quỹ khen thưởng,phúc lợi và Quỹ thưởngBan điều hành (i)","Trích Quỹ khen thưởng,phúc lợi và Quỹ thưởngBan điều hành (i)",-,-,(106.841.100.000),(106.841.100.000),,,-106841100000.0,-106841100000.0
Trích Quỹ Đầu tư pháttriển (i),Trích Quỹ Đầu tư pháttriển (i),Trích Quỹ Đầu tư pháttriển (i),-,5.596.320.305.105,(5.596.320.305.105),-,,5596320305105.0,-5596320305105.0,
Chi trả cổ tức (i),Chi trả cổ tức (i),Chi trả cổ tức (i),-,-,(930.149.884.800),(930.149.884.800),,,-930149884800.0,-930149884800.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,31.004.996.160.000,5.596.320.305.105,14.836.240.795.029,51.437.557.260.134,31004996160000.0,5596320305105.0,14836240795029.0,51437557260134.0
