row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A - TÀI SẢN NGÁN HẠN,A - TÀI SẢN NGÁN HẠN,A - TÀI SẢN NGÁN HẠN,100,,676.708.619.174,1.651.862.301.365,100.0,,676708619174.0,1651862301365.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5,3.396.763.225,608.801.275.703,110.0,5.0,3396763225.0,608801275703.0
1. Tiền,1. Tiền,1. Tiền,111,,896.763.225,28.324.275.703,111.0,,896763225.0,28324275703.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,2.500.000.000,580.477.000.000,112.0,,2500000000.0,580477000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,6,651.810.502.236,992.156.495.671,120.0,6.0,651810502236.0,992156495671.0
1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,121,,107.708.403.610,192.680.719.593,121.0,,107708403610.0,192680719593.0
2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,122,,(13.089.677.452),-,122.0,,-13089677452.0,
3. Đầu tư nằm giữ đến ngày đáo hạn,3. Đầu tư nằm giữ đến ngày đáo hạn,3. Đầu tư nằm giữ đến ngày đáo hạn,123,,557.191.776.078,799.475.776.078,123.0,,557191776078.0,799475776078.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,19.967.846.259,50.099.353.048,130.0,,19967846259.0,50099353048.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,,3.840.066.458,1.142.436.958,131.0,,3840066458.0,1142436958.0
