row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số cuối năm > Dự phòng,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hợp lý,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hợp lý,numeric__Số đầu năm > Dự phòng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Chứng khoán kinh doanh ngắn hạn,Chứng khoán kinh doanh ngắn hạn,Chứng khoán kinh doanh ngắn hạn,107.708.403.610,94.618.726.158,13.089.677.452,192.680.719.593,192.680.719.593,-,107708403610.0,94618726158.0,13089677452.0,192680719593.0,192680719593.0,
- Tổng giá trị cổ phiếu,- Tổng giá trị cổ phiếu,- Tổng giá trị cổ phiếu,107.708.403.610,94.618.726.158,13.089.677.452,31.674.374.763,31.674.374.763,-,107708403610.0,94618726158.0,13089677452.0,31674374763.0,31674374763.0,
Đầu tư chứng khoán đã được niêm yết,Đầu tư chứng khoán đã được niêm yết,Đầu tư chứng khoán đã được niêm yết,107.708.403.610,94.618.726.158,13.089.677.452,31.174.374.763,31.174.374.763,-,107708403610.0,94618726158.0,13089677452.0,31174374763.0,31174374763.0,
Công ty Cổ phần Phân bón dầu khí Cà Mau,Công ty Cổ phần Phân bón dầu khí Cà Mau,Công ty Cổ phần Phân bón dầu khí Cà Mau,57.801.778.809,48.082.884.500,9.718.894.309,-,-,-,57801778809.0,48082884500.0,9718894309.0,,,
Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,18.015.983.143,14.645.200.000,3.370.783.143,-,-,-,18015983143.0,14645200000.0,3370783143.0,,,
Công ty Cổ phần Tập đoàn Hòa Phát,Công ty Cổ phần Tập đoàn Hòa Phát,Công ty Cổ phần Tập đoàn Hòa Phát,16.648.371.154,16.648.371.154,-,-,-,-,16648371154.0,16648371154.0,,,,
Công ty Cổ phần FPT,Công ty Cổ phần FPT,Công ty Cổ phần FPT,15.242.260.504,15.242.260.504,-,-,-,-,15242260504.0,15242260504.0,,,,
Công ty Cổ phần Tập đoàn Nhựa Đông Á,Công ty Cổ phần Tập đoàn Nhựa Đông Á,Công ty Cổ phần Tập đoàn Nhựa Đông Á,-,-,-,15.553.125.000,15.553.125.000,-,,,,15553125000.0,15553125000.0,
Tổng Công ty Cổ phần Vận tải dầu khí Đối tượng khác,Tổng Công ty Cổ phần Vận tải dầu khí Đối tượng khác,Tổng Công ty Cổ phần Vận tải dầu khí Đối tượng khác,-,-,-,15.621.239.763,15.621.239.763,-,,,,15621239763.0,15621239763.0,
Tổng Công ty Cổ phần Vận tải dầu khí Đối tượng khác,Tổng Công ty Cổ phần Vận tải dầu khí Đối tượng khác,Tổng Công ty Cổ phần Vận tải dầu khí Đối tượng khác,10.000,10.000,-,10.000,10.000,-,10000.0,10000.0,,10000.0,10000.0,
Đầu tư chứng khoán chưa niêm yết,Đầu tư chứng khoán chưa niêm yết,Đầu tư chứng khoán chưa niêm yết,-,-,-,500.000.000,500.000.000,-,,,,500000000.0,500000000.0,
Công ty Cổ phần Đầu tư và phát triển Nghệ An,Công ty Cổ phần Đầu tư và phát triển Nghệ An,Công ty Cổ phần Đầu tư và phát triển Nghệ An,-,-,-,500.000.000,500.000.000,-,,,,500000000.0,500000000.0,
- Trái phiếu chính phủ,- Trái phiếu chính phủ,- Trái phiếu chính phủ,,-,-,161.006.344.830,161.006.344.830,-,,,,161006344830.0,161006344830.0,
