row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi số,Số đầu năm > Giá gốc,Số đầu năm > Giá trị ghi số,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi số,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị ghi số
,,,VND,VND,VND,VND,,,,
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,665.055.776.078,665.055.776.078,799.475.776.078,799.475.776.078,665055776078.0,665055776078.0,799475776078.0,799475776078.0
Ngắn hạn,Ngắn hạn,Ngắn hạn,557.191.776.078,557.191.776.078,799.475.776.078,799.475.776.078,557191776078.0,557191776078.0,799475776078.0,799475776078.0
- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,320.000.000.000,320.000.000.000,567.800.000.000,567.800.000.000,320000000000.0,320000000000.0,567800000000.0,567800000000.0
- Các khoản đầu tư khác (i),- Các khoản đầu tư khác (i),- Các khoản đầu tư khác (i),237.191.776.078,237.191.776.078,231.675.776.078,231.675.776.078,237191776078.0,237191776078.0,231675776078.0,231675776078.0
+ Khoản đầu tư vào tổ chức,+ Khoản đầu tư vào tổ chức,+ Khoản đầu tư vào tổ chức,36.051.632.350,36.051.632.350,30.535.632.350,30.535.632.350,36051632350.0,36051632350.0,30535632350.0,30535632350.0
Công ty CP TM SX và dịch vụ Sao Nam,Công ty CP TM SX và dịch vụ Sao Nam,Công ty CP TM SX và dịch vụ Sao Nam,32.551.632.350,32.551.632.350,22.551.632.350,22.551.632.350,32551632350.0,32551632350.0,22551632350.0,22551632350.0
Công ty TNHH XNK và Thương mại F.I.T Việt Nam,Công ty TNHH XNK và Thương mại F.I.T Việt Nam,Công ty TNHH XNK và Thương mại F.I.T Việt Nam,-,-,7.984.000.000,7.984.000.000,,,7984000000.0,7984000000.0
Công ty Cổ phần Today Cosmetics,Công ty Cổ phần Today Cosmetics,Công ty Cổ phần Today Cosmetics,3.500.000.000,3.500.000.000,-,-,3500000000.0,3500000000.0,,
+ Khoản đầu tư vào cá nhân,+ Khoản đầu tư vào cá nhân,+ Khoản đầu tư vào cá nhân,201.140.143.728,201.140.143.728,201.140.143.728,201.140.143.728,201140143728.0,201140143728.0,201140143728.0,201140143728.0
Đỗ Thị Hoàng Yến,Đỗ Thị Hoàng Yến,Đỗ Thị Hoàng Yến,67.680.000.000,67.680.000.000,67.680.000.000,67.680.000.000,67680000000.0,67680000000.0,67680000000.0,67680000000.0
Nguyễn Bích Hà Nguyên,Nguyễn Bích Hà Nguyên,Nguyễn Bích Hà Nguyên,52.875.000.000,52.875.000.000,52.875.000.000,52.875.000.000,52875000000.0,52875000000.0,52875000000.0,52875000000.0
Thái Quang Huy,Thái Quang Huy,Thái Quang Huy,51.606.000.000,51.606.000.000,51.606.000.000,51.606.000.000,51606000000.0,51606000000.0,51606000000.0,51606000000.0
Thái Minh Hoàng,Thái Minh Hoàng,Thái Minh Hoàng,28.764.000.000,28.764.000.000,28.764.000.000,28.764.000.000,28764000000.0,28764000000.0,28764000000.0,28764000000.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,215.143.728,215.143.728,215.143.728,215.143.728,215143728.0,215143728.0,215143728.0,215143728.0
Dài hạn,Dài hạn,Dài hạn,107.864.000.000,107.864.000.000,-,-,107864000000.0,107864000000.0,,
Đỗ Thế Cao (ii),Đỗ Thế Cao (ii),Đỗ Thế Cao (ii),107.864.000.000,107.864.000.000,-,-,107864000000.0,107864000000.0,,
