row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Trong năm > Giảm,Trong năm > Tăng,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Trong năm > Giảm,numeric__Trong năm > Tăng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,118.316.572.252,118.316.572.252,6.595.435.018.642,6.131.867.747.938,581.883.842.956,581.883.842.956,118316572252.0,118316572252.0,6595435018642.0,6131867747938.0,581883842956.0,581883842956.0
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,118.316.572.252,118.316.572.252,6.191.653.018.642,5.926.767.747.938,383.201.842.956,383.201.842.956,118316572252.0,118316572252.0,6191653018642.0,5926767747938.0,383201842956.0,383201842956.0
Ngân hàng VP Bank,Ngân hàng VP Bank,Ngân hàng VP Bank,-,-,1.484.000.000.000,1.254.000.000.000,230.000.000.000,230.000.000.000,,,1484000000000.0,1254000000000.0,230000000000.0,230000000000.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (i),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (i),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (i),118.316.572.252,118.316.572.252,4.627.592.213.530,4.592.706.942.826,153.201.842.956,153.201.842.956,118316572252.0,118316572252.0,4627592213530.0,4592706942826.0,153201842956.0,153201842956.0
Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng TMCP Quốc tế Việt Nam,-,-,60.060.805.112,60.060.805.112,-,-,,,60060805112.0,60060805112.0,,
Ngân hàng TMCP Ngoại thương Việt Nam - CN Nam Hà Nội,Ngân hàng TMCP Ngoại thương Việt Nam - CN Nam Hà Nội,Ngân hàng TMCP Ngoại thương Việt Nam - CN Nam Hà Nội,-,-,20.000.000.000,20.000.000.000,-,-,,,20000000000.0,20000000000.0,,
Vay tổ chức khác,Vay tổ chức khác,Vay tổ chức khác,,,403.782.000.000,205.100.000.000,198.682.000.000,198.682.000.000,,,403782000000.0,205100000000.0,198682000000.0,198682000000.0
Công ty CP Chế biến thực phẩm XK Miền Tây,Công ty CP Chế biến thực phẩm XK Miền Tây,Công ty CP Chế biến thực phẩm XK Miền Tây,-,-,86.300.000.000,-,86.300.000.000,86.300.000.000,,,86300000000.0,,86300000000.0,86300000000.0
Công ty Cổ phần Hạt Giống TSC,Công ty Cổ phần Hạt Giống TSC,Công ty Cổ phần Hạt Giống TSC,-,-,57.000.000.000,-,57.000.000.000,57.000.000.000,,,57000000000.0,,57000000000.0,57000000000.0
Công ty CP Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Công ty CP Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Công ty CP Vật tư Kỹ thuật Nông nghiệp Cần Thơ,-,-,235.782.000.000,201.900.000.000,33.882.000.000,33.882.000.000,,,235782000000.0,201900000000.0,33882000000.0,33882000000.0
Công ty Cổ phần Nông dược TSC,Công ty Cổ phần Nông dược TSC,Công ty Cổ phần Nông dược TSC,-,-,24.700.000.000,3.200.000.000,21.500.000.000,21.500.000.000,,,24700000000.0,3200000000.0,21500000000.0,21500000000.0
