row_label_raw,row_label_full,col_0,Dưới 1 năm,Từ 1 - 5 năm,Cộng,numeric__Dưới 1 năm,numeric__Từ 1 - 5 năm,numeric__Cộng
,,,VND,VND,VND,,,
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,,,
Tiền và các khoản tương đương tiền,Tại ngày đầu năm > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,608.801.275.703,-,608.801.275.703,608801275703.0,,608801275703.0
Phải thu khách hàng và phải thu khác,Tại ngày đầu năm > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,10.955.938.924,-,10.955.938.924,10955938924.0,,10955938924.0
Đầu tư tài chính ngắn hạn,Tại ngày đầu năm > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,992.156.495.671,-,992.156.495.671,992156495671.0,,992156495671.0
Đầu tư tài chính dài hạn,Tại ngày đầu năm > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,1.502.784.426.797,1.502.784.426.797,,1502784426797.0,1502784426797.0
Các khoản ký quỹ,Tại ngày đầu năm > Các khoản ký quỹ,Các khoản ký quỹ,-,1.311.075.000,1.311.075.000,,1311075000.0,1311075000.0
Tổng cộng,Tại ngày đầu năm > Tổng cộng,Tổng cộng,1.611.913.710.298,1.504.095.501.797,3.116.009.212.095,1611913710298.0,1504095501797.0,3116009212095.0
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,,,
Các khoản vay,Tại ngày đầu năm > Các khoản vay,Các khoản vay,581.883.842.956,-,581.883.842.956,581883842956.0,,581883842956.0
Phải trả người bán và phải trả khác,Tại ngày đầu năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,283.516.576.971,135.132.000,283.651.708.971,283516576971.0,135132000.0,283651708971.0
Chi phí phải trả,Tại ngày đầu năm > Chi phí phải trả,Chi phí phải trả,2.055.165.086,-,2.055.165.086,2055165086.0,,2055165086.0
Tổng cộng,Tại ngày đầu năm > Tổng cộng,Tổng cộng,867.455.585.013,135.132.000,867.590.717.013,867455585013.0,135132000.0,867590717013.0
Chênh lệch thanh khoản thuần,Tại ngày đầu năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,744.458.125.285,1.503.960.369.797,2.248.418.495.082,744458125285.0,1503960369797.0,2248418495082.0
