row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,6.412.811.860.000,760.819.802.040,4.935.934.888.700,12.109.566.550.740,6412811860000.0,760819802040.0,4935934888700.0,12109566550740.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,3.414.401.720.779,3.414.401.720.779,,,3414401720779.0,3414401720779.0
Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),-,-,(2.244.484.151.000),(2.244.484.151.000),,,-2244484151000.0,-2244484151000.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 21)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 21)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 21)",-,-,(114.397.723.138),(114.397.723.138),,,-114397723138.0,-114397723138.0
"Trích bổ sung quỹ khen thưởng, phúc lợi (Thuyết minh 21)","Trích bổ sung quỹ khen thưởng, phúc lợi (Thuyết minh 21)","Trích bổ sung quỹ khen thưởng, phúc lợi (Thuyết minh 21)",-,-,(25.689.699.033),(25.689.699.033),,,-25689699033.0,-25689699033.0
Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,-,-,(31.798.656.758),(31.798.656.758),,,-31798656758.0,-31798656758.0
Trích bổ sung quỹ công tác xã hội,Trích bổ sung quỹ công tác xã hội,Trích bổ sung quỹ công tác xã hội,-,-,(1.086.828.092),(1.086.828.092),,,-1086828092.0,-1086828092.0
Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,6.412.811.860.000,760.819.802.040,5.932.879.551.458,13.106.511.213.498,6412811860000.0,760819802040.0,5932879551458.0,13106511213498.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,4.548.201.400.131,4.548.201.400.131,,,4548201400131.0,4548201400131.0
Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),-,-,(961.921.779.000),(961.921.779.000),,,-961921779000.0,-961921779000.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 21)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 21)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 21)",-,-,(96.217.582.274),(96.217.582.274),,,-96217582274.0,-96217582274.0
"Trích bổ sung quỹ khen thưởng, phúc lợi (Thuyết minh 21)","Trích bổ sung quỹ khen thưởng, phúc lợi (Thuyết minh 21)","Trích bổ sung quỹ khen thưởng, phúc lợi (Thuyết minh 21)",-,-,(9.856.905.653),(9.856.905.653),,,-9856905653.0,-9856905653.0
Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,-,-,(40.464.926.089),(40.464.926.089),,,-40464926089.0,-40464926089.0
Trích bổ sung quỹ công tác xã hội,Trích bổ sung quỹ công tác xã hội,Trích bổ sung quỹ công tác xã hội,-,-,(2.345.360.450),(2.345.360.450),,,-2345360450.0,-2345360450.0
Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,6.412.811.860.000,760.819.802.040,9.370.274.398.123,16.543.906.060.163,6412811860000.0,760819802040.0,9370274398123.0,16543906060163.0
