row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịquản lýVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịquản lýVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,578.837.789.881,2.721.622.534.658,56.983.995.633,96.822.894.226,3.454.267.214.398,578837789881.0,2721622534658.0,56983995633.0,96822894226.0,3454267214398.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,9.680.608.805,-,6.647.317.616,16.327.926.421,,9680608805.0,,6647317616.0,16327926421.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,5.746.756.593,675.350.333,1.327.710.302,-,7.749.817.228,5746756593.0,675350333.0,1327710302.0,,7749817228.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(63.606.926.486),-,-,(63.606.926.486),,-63606926486.0,,,-63606926486.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(1.937.000.000),-,-,-,(1.937.000.000),-1937000000.0,,,,-1937000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,582.647.546.474,2.668.371.567.310,58.311.705.935,103.470.211.842,3.412.801.031.561,582647546474.0,2668371567310.0,58311705935.0,103470211842.0,3412801031561.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,382.343.741.709,2.208.426.802.801,44.299.433.653,69.933.043.396,2.705.003.021.559,382343741709.0,2208426802801.0,44299433653.0,69933043396.0,2705003021559.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,32.939.930.419,183.194.182.682,3.498.885.457,9.523.498.529,229.156.497.087,32939930419.0,183194182682.0,3498885457.0,9523498529.0,229156497087.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(63.606.926.486),-,-,(63.606.926.486),,-63606926486.0,,,-63606926486.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(1.937.000.000),-,-,-,(1.937.000.000),-1937000000.0,,,,-1937000000.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,413.346.672.128,2.328.014.058.997,47.798.319.110,79.456.541.925,2.868.615.592.160,413346672128.0,2328014058997.0,47798319110.0,79456541925.0,2868615592160.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,196.494.048.172,513.195.731.857,12.684.561.980,26.889.850.830,749.264.192.839,196494048172.0,513195731857.0,12684561980.0,26889850830.0,749264192839.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,169.300.874.346,340.357.508.313,10.513.386.825,24.013.669.917,544.185.439.401,169300874346.0,340357508313.0,10513386825.0,24013669917.0,544185439401.0
