row_label_raw,row_label_full,Tên công ty,31/12/2019 > % sở hữu và % quyền biểu quyết,31/12/2019 > Giá gốc VND,31/12/2019 > Giá trị hợp lý VND,31/12/2019 > Dự phòng VND,1/1/2019 > % sở hữu và % quyền biểu quyết,1/1/2019 > Giá gốc VND,1/1/2019 > Giá trị hợp lý VND,1/1/2019 > Dự phòng VND,numeric__31/12/2019 > % sở hữu và % quyền biểu quyết,numeric__31/12/2019 > Giá gốc VND,numeric__31/12/2019 > Giá trị hợp lý VND,numeric__31/12/2019 > Dự phòng VND,numeric__1/1/2019 > % sở hữu và % quyền biểu quyết,numeric__1/1/2019 > Giá gốc VND,numeric__1/1/2019 > Giá trị hợp lý VND,numeric__1/1/2019 > Dự phòng VND
Ngân hàng Thương mạiCổ phần Phương Đông,Ngân hàng Thương mạiCổ phần Phương Đông,Ngân hàng Thương mạiCổ phần Phương Đông,"2,03%",216.579.320.000,234.115.429.133,-,"2,03%",216.579.320.000,181.443.866.133,(35.135.453.867),0.0203,216579320000.0,234115429133.0,,0.0203,216579320000.0,181443866133.0,-35135453867.0
Ngân hàng Thương mạiCổ phần Đông Á,Ngân hàng Thương mạiCổ phần Đông Á,Ngân hàng Thương mạiCổ phần Đông Á,"0,95%",136.265.460.000,(*),(136.265.460.000),"0,95%",136.265.460.000,(*),(136.265.460.000),0.0095,136265460000.0,,-136265460000.0,0.0095,136265460000.0,,-136265460000.0
Công ty Cổ phần Tập đoànBao bì Sài Gòn (trước dây là“Công ty Cổ phần Bao BìSabeco Sông Lam”),Công ty Cổ phần Tập đoànBao bì Sài Gòn (trước dây là“Công ty Cổ phần Bao BìSabeco Sông Lam”),Công ty Cổ phần Tập đoànBao bì Sài Gòn (trước dây là“Công ty Cổ phần Bao BìSabeco Sông Lam”),"8,2%",46.000.000.000,(*),-,"8,2%",46.000.000.000,(*),-,0.08199999999999999,46000000000.0,,,0.08199999999999999,46000000000.0,,
Công ty Cổ phần PVI,Công ty Cổ phần PVI,Công ty Cổ phần PVI,"0,21%",51.475.140.000,14.953.831.200,(36.521.308.800),"0,21%",51.475.140.000,15.730.653.600,(35.744.486.400),0.0021,51475140000.0,14953831200.0,-36521308800.0,0.0021,51475140000.0,15730653600.0,-35744486400.0
Công ty Cổ phần Đầu tư vàPhát triển Không Gian Ngầm,Công ty Cổ phần Đầu tư vàPhát triển Không Gian Ngầm,Công ty Cổ phần Đầu tư vàPhát triển Không Gian Ngầm,"4,91%",23.085.000.000,(*),(23.085.000.000),"4,91%",23.085.000.000,(*),(23.085.000.000),0.049100000000000005,23085000000.0,,-23085000000.0,0.049100000000000005,23085000000.0,,-23085000000.0
Công ty Cổ phần Du lịchDầu khí Phương Đông,Công ty Cổ phần Du lịchDầu khí Phương Đông,Công ty Cổ phần Du lịchDầu khí Phương Đông,"9,8%",30.700.950.000,7.056.000.000,(30.700.950.000),"9,8%",30.700.950.000,8.232.000.000,(22.468.950.000),0.098,30700950000.0,7056000000.0,-30700950000.0,0.098,30700950000.0,8232000000.0,-22468950000.0
Quỹ đầu tư Chứng khoánSài Gòn A2,Quỹ đầu tư Chứng khoánSài Gòn A2,Quỹ đầu tư Chứng khoánSài Gòn A2,10%,35.757.720.722,(*),(35.757.720.722),10%,51.107.720.722,(*),(35.757.720.722),0.1,35757720722.0,,-35757720722.0,0.1,51107720722.0,,-35757720722.0
Công ty Cổ phần Vận tải vàGiao nhận Bia Sài Gòn,Công ty Cổ phần Vận tải vàGiao nhận Bia Sài Gòn,Công ty Cổ phần Vận tải vàGiao nhận Bia Sài Gòn,"13,54%",26.588.267.394,(*),-,"13,54%",26.588.267.394,(*),-,0.1354,26588267394.0,,,0.1354,26588267394.0,,
Công ty Cổ phần Bia - NướcGiải Khát Sài Gòn - Tây Đô,Công ty Cổ phần Bia - NướcGiải Khát Sài Gòn - Tây Đô,Công ty Cổ phần Bia - NướcGiải Khát Sài Gòn - Tây Đô,"14,41%",19.690.000.000,(*),-,"14,41%",19.690.000.000,(*),-,0.1441,19690000000.0,,,0.1441,19690000000.0,,
Công ty Cổ phần Tập đoànBia Sài Gòn Bình Tây,Công ty Cổ phần Tập đoànBia Sài Gòn Bình Tây,Công ty Cổ phần Tập đoànBia Sài Gòn Bình Tây,"16,42%",126.429.237.491,(*),-,"16,42%",126.429.237.491,(*),-,0.1642,126429237491.0,,,0.1642,126429237491.0,,
Quỹ đầu tư Việt Nam,Quỹ đầu tư Việt Nam,Quỹ đầu tư Việt Nam,-,-,-,-,"7,97%",7.275.187.937,(*),(7.275.187.937),,,,,0.0797,7275187937.0,,-7275187937.0
