row_label_raw,row_label_full,Ông Neo Gim Siong Bennett,Tổng Giám đốc,numeric__Tổng Giám đốc
Ông Teo Hong Keng,Ông Teo Hong Keng,Ông Teo Hong Keng,Phó Tổng Giám đốc,
Ông Ng Kuan Ngee Melvyn,Ông Ng Kuan Ngee Melvyn,Ông Ng Kuan Ngee Melvyn,Phó Tổng Giám đốc,
Ông Lâm Du An,Ông Lâm Du An,Ông Lâm Du An,Phó Tổng Giám đốc,
,,,Giám đốc Nhà máy Bia Sài Gòn,
,,,- Nguyễn Chí Thanh,
Ông Hoàng Đạo Hiệp,Ông Hoàng Đạo Hiệp,Ông Hoàng Đạo Hiệp,Phó Tổng Giám đốc,
