row_label_raw,row_label_full,col_0,Tài sản chờ góp vốn đầu tư (*) VND,Bao bì luân chuyển VND,Công cụ và dụng cụ và các chi phí khác VND,Tổng VND,numeric__Tài sản chờ góp vốn đầu tư (*) VND,numeric__Bao bì luân chuyển VND,numeric__Công cụ và dụng cụ và các chi phí khác VND,numeric__Tổng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,51.602.316.000,23.169.336.516,7.498.193.850,82.269.846.366,51602316000.0,23169336516.0,7498193850.0,82269846366.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,13.653.667.393,9.491.091.524,23.144.758.917,,13653667393.0,9491091524.0,23144758917.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,-,(18.987.714.275),(5.035.834.435),(24.023.548.710),,-18987714275.0,-5035834435.0,-24023548710.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,51.602.316.000,17.835.289.634,11.953.450.939,81.391.056.573,51602316000.0,17835289634.0,11953450939.0,81391056573.0
