row_label_raw,row_label_full,Ông Koh Poh Tiong,Chủ tịch,numeric__Chủ tịch
Ông Pramoad Phornprapha,Ông Pramoad Phornprapha,Ông Pramoad Phornprapha,Thành viên,
Ông Nguyễn Tiến Vý,Ông Nguyễn Tiến Vý,Ông Nguyễn Tiến Vý,Thành viên,
Ông Michael Chye Hin Fah,Ông Michael Chye Hin Fah,Ông Michael Chye Hin Fah,Thành viên,
Bà Trần Kim Nga,Bà Trần Kim Nga,Bà Trần Kim Nga,Thành viên,
Ông Nguyễn Tiến Dũng,Ông Nguyễn Tiến Dũng,Ông Nguyễn Tiến Dũng,Thành viên,
Ông Lương Thanh Hải,Ông Lương Thanh Hải,Ông Lương Thanh Hải,Thành viên,
