row_label_raw,row_label_full,col_0,Giá gốc/Số có khả năng trả nợ,Giá gốc/Số có khả năng trả nợ_1,numeric__Giá gốc/Số có khả năng trả nợ,numeric__Giá gốc/Số có khả năng trả nợ_1
,,,31/12/2019VND,1/1/2019VND,,
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
Công ty Cổ phần Thương mại Bia Sài Gòn Trung Tâm,Các công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Trung Tâm,Công ty Cổ phần Thương mại Bia Sài Gòn Trung Tâm,129.950.035.850,28.563.399.700,129950035850.0,28563399700.0
Công ty Cổ phần Thương mại Bia Sài Gòn Sông Tiền,Các công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Sông Tiền,Công ty Cổ phần Thương mại Bia Sài Gòn Sông Tiền,105.687.151.380,39.776.536.181,105687151380.0,39776536181.0
Công ty Cổ phần Thương mại Bia Sài Gòn Miền Đông,Các công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Miền Đông,Công ty Cổ phần Thương mại Bia Sài Gòn Miền Đông,98.889.546.649,37.813.972.006,98889546649.0,37813972006.0
Công ty Cổ phần Thương mại Bia Sài Gòn Sông Hậu,Các công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Sông Hậu,Công ty Cổ phần Thương mại Bia Sài Gòn Sông Hậu,88.288.744.524,60.211.555.443,88288744524.0,60211555443.0
Công ty Cổ phần Thương mại Bia Sài Gòn Miền Bắc,Các công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Miền Bắc,Công ty Cổ phần Thương mại Bia Sài Gòn Miền Bắc,63.098.950.611,29.637.985.845,63098950611.0,29637985845.0
Công ty Cổ phần Thương mại Bia Sài Gòn Bắc Trung Bộ,Các công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Bắc Trung Bộ,Công ty Cổ phần Thương mại Bia Sài Gòn Bắc Trung Bộ,52.125.690.926,13.522.311.831,52125690926.0,13522311831.0
Công ty Cổ phần Thương mại Bia Sài Gòn Đông Bắc,Các công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Đông Bắc,Công ty Cổ phần Thương mại Bia Sài Gòn Đông Bắc,51.600.146.861,21.767.189.034,51600146861.0,21767189034.0
Công ty Cổ phần Bia Sài Gòn - Lâm Đồng,Các công ty con > Công ty Cổ phần Bia Sài Gòn - Lâm Đồng,Công ty Cổ phần Bia Sài Gòn - Lâm Đồng,49.937.561.300,-,49937561300.0,
Công ty Cổ phần Thương mại Bia Sài Gòn Tây Nguyên,Các công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Tây Nguyên,Công ty Cổ phần Thương mại Bia Sài Gòn Tây Nguyên,43.898.391.736,25.633.011.879,43898391736.0,25633011879.0
Công ty Cổ phần Thương mại Bia Sài Gòn Nam Trung Bộ,Các công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Nam Trung Bộ,Công ty Cổ phần Thương mại Bia Sài Gòn Nam Trung Bộ,43.179.760.397,13.675.794.719,43179760397.0,13675794719.0
Công ty Cổ phần Thương mại Bia Sài Gòn Miền Trung,Các công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Miền Trung,Công ty Cổ phần Thương mại Bia Sài Gòn Miền Trung,38.472.061.058,18.735.326.224,38472061058.0,18735326224.0
Công ty Cổ phần Bia Sài Gòn - Hà Nội,Các công ty con > Công ty Cổ phần Bia Sài Gòn - Hà Nội,Công ty Cổ phần Bia Sài Gòn - Hà Nội,38.383.956.600,27.041.488.482,38383956600.0,27041488482.0
Công ty Cổ phần Bia Sài Gòn - Sông Lam,Các công ty con > Công ty Cổ phần Bia Sài Gòn - Sông Lam,Công ty Cổ phần Bia Sài Gòn - Sông Lam,37.502.899.391,58.559.536.728,37502899391.0,58559536728.0
Công ty Cổ phần Bia Sài Gòn - Quảng Ngãi,Các công ty con > Công ty Cổ phần Bia Sài Gòn - Quảng Ngãi,Công ty Cổ phần Bia Sài Gòn - Quảng Ngãi,27.728.275.300,26.252.241.400,27728275300.0,26252241400.0
Công ty Cổ phần Bao bì Bia Sài Gòn,Các công ty con > Công ty Cổ phần Bao bì Bia Sài Gòn,Công ty Cổ phần Bao bì Bia Sài Gòn,23.581.439.310,18.835.210.240,23581439310.0,18835210240.0
Công ty TNHH Một Thành Viên Bia Sài Gòn - Hà Tĩnh,Các công ty con > Công ty TNHH Một Thành Viên Bia Sài Gòn - Hà Tĩnh,Công ty TNHH Một Thành Viên Bia Sài Gòn - Hà Tĩnh,23.160.534.650,39.585.975.000,23160534650.0,39585975000.0
Công ty TNHH Một Thành Viên Thương mại Bia Sài Gòn,Các công ty con > Công ty TNHH Một Thành Viên Thương mại Bia Sài Gòn,Công ty TNHH Một Thành Viên Thương mại Bia Sài Gòn,13.493.271.489,18.372.124.012,13493271489.0,18372124012.0
Công ty TNHH Một Thành Viên Cơ khí Sa Be Co,Các công ty con > Công ty TNHH Một Thành Viên Cơ khí Sa Be Co,Công ty TNHH Một Thành Viên Cơ khí Sa Be Co,11.067.146.696,1.309.900.134,11067146696.0,1309900134.0
Công ty Cổ phần Bia Sài Gòn - Miền Tây,Các công ty con > Công ty Cổ phần Bia Sài Gòn - Miền Tây,Công ty Cổ phần Bia Sài Gòn - Miền Tây,8.659.671.680,12.743.161.114,8659671680.0,12743161114.0
Công ty TNHH Một Thành Viên Bia Sài Gòn Sóc Trăng,Các công ty con > Công ty TNHH Một Thành Viên Bia Sài Gòn Sóc Trăng,Công ty TNHH Một Thành Viên Bia Sài Gòn Sóc Trăng,6.883.324.360,22.450.953.360,6883324360.0,22450953360.0
"Công ty Cổ phần Bia, Rượu Sài Gòn - Đồng Xuân","Các công ty con > Công ty Cổ phần Bia, Rượu Sài Gòn - Đồng Xuân","Công ty Cổ phần Bia, Rượu Sài Gòn - Đồng Xuân",5.958.296.542,9.405.748.680,5958296542.0,9405748680.0
Công ty Cổ phần Bia Sài Gòn - Nghệ Tĩnh,Các công ty con > Công ty Cổ phần Bia Sài Gòn - Nghệ Tĩnh,Công ty Cổ phần Bia Sài Gòn - Nghệ Tĩnh,845.928.600,3.377.627.770,845928600.0,3377627770.0
Công ty Cổ phần Nước Giải Khát Chương Dương,Các công ty con > Công ty Cổ phần Nước Giải Khát Chương Dương,Công ty Cổ phần Nước Giải Khát Chương Dương,23.887.582,10.748.221.283,23887582.0,10748221283.0
