row_label_raw,row_label_full,Phải thu do chênh lệch giữa giá trị của các khoản đầu tư và phần vốn góp trong công ty liên kết,31/12/2019VND > 277.230.733.543,1/1/2019VND(Phân loại lại) > 277.230.733.543,numeric__31/12/2019VND > 277.230.733.543,numeric__1/1/2019VND(Phân loại lại) > 277.230.733.543
"Phải thu tiền lãi từ cho vay, tiền gửi ngân hàng và trái phiếu","Phải thu tiền lãi từ cho vay, tiền gửi ngân hàng và trái phiếu","Phải thu tiền lãi từ cho vay, tiền gửi ngân hàng và trái phiếu",303.797.011.694,144.699.293.867,303797011694.0,144699293867.0
Phải thu về cổ tức,Phải thu về cổ tức,Phải thu về cổ tức,195.943.020.644,41.208.088.679,195943020644.0,41208088679.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,39.917.700.119,39.239.614.048,39917700119.0,39239614048.0
,,,816.888.466.000,502.377.730.137,816888466000.0,502377730137.0
