row_label_raw,row_label_full,col_0,col_1,31/12/2024VND,31/12/2023VND,numeric__col_1,numeric__31/12/2024VND,numeric__31/12/2023VND
(a),(a),(a),Ngắn hạn,,,,,
(a),(a) > (a),(a),Dịch vụ giáo dục,2.189.194.444.966,2.034.081.838.433,,2189194444966.0,2034081838433.0
(a),(a) > (a),(a),Dịch vụ viễn thông,1.742.894.976.363,1.352.234.046.771,,1742894976363.0,1352234046771.0
(a),(a) > (a),(a),Khác,292.559.945.070,233.889.574.838,,292559945070.0,233889574838.0
(a),(a) > (a),(a),,4.224.649.366.399,3.620.205.460.042,,4224649366399.0,3620205460042.0
(b),(b),(b),Dài hạn,,,,,
(b),(b) > (b),(b),Dịch vụ cung cấp phần mềm,96.453.063.054,96.887.699.527,,96453063054.0,96887699527.0
(b),(b) > (b),(b),Dịch vụ viễn thông,6.969.806.981,6.344.870.859,,6969806981.0,6344870859.0
(b),(b) > (b),(b),Khác,27.921.664.169,29.694.468.261,,27921664169.0,29694468261.0
(b),(b) > (b),(b),,131.344.534.204,132.927.038.647,,131344534204.0,132927038647.0
21,21,21,PHẢI TRẢ KHÁC,,,,,
21,21,21,,31/12/2024VND,31/12/2023VND,,,
(a),(a),(a),Ngắn hạn,,,,,
(a),(a) > (a),(a),"Bảo hiểm xã hội, bảo hiểm y tế,bảo hiểm thất nghiệp",204.106.841.458,144.513.112.572,,204106841458.0,144513112572.0
(a),(a) > (a),(a),Kinh phí công đoàn,141.865.988.978,123.106.128.775,,141865988978.0,123106128775.0
(a),(a) > (a),(a),"Ký quỹ, ký cược",194.054.614.610,115.371.730.758,,194054614610.0,115371730758.0
(a),(a) > (a),(a),"Cổ tức, lợi nhuận phải trả",19.677.589.931,16.655.674.706,,19677589931.0,16655674706.0
(a),(a) > (a),(a),Khác,314.310.802.351,615.454.959.146,,314310802351.0,615454959146.0
(a),(a) > (a),(a),,874.015.837.328,1.015.101.605.957,,874015837328.0,1015101605957.0
(b),(b),(b),Dài hạn,,,,,
(b),(b) > (b),(b),"Ký quỹ, ký cược",22.033.788.240,23.187.723.523,,22033788240.0,23187723523.0
(b),(b) > (b),(b),Khác,161.754.654.545,18.726.411.535,,161754654545.0,18726411535.0
(b),(b) > (b),(b),,183.788.442.785,41.914.135.058,,183788442785.0,41914135058.0
