row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2024,Nguyên giá > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,7.146.778.445.139,14.218.021.769.590,109.395.032.500,703.318.477.489,111.448.553.472,22.288.962.278.190,7146778445139.0,14218021769590.0,109395032500.0,703318477489.0,111448553472.0,22288962278190.0
Mua mới,Nguyên giá > Mua mới,Mua mới,173.403.365.215,523.096.003.147,11.767.459.017,121.591.923.774,8.047.492.945,837.906.244.098,173403365215.0,523096003147.0,11767459017.0,121591923774.0,8047492945.0,837906244098.0
Tăng từ hợp nhất kinh doanh(Thuyết minh 3),Nguyên giá > Tăng từ hợp nhất kinh doanh(Thuyết minh 3),Tăng từ hợp nhất kinh doanh(Thuyết minh 3),-,12.117.700.000,-,-,-,12.117.700.000,,12117700000.0,,,,12117700000.0
Chuyển từ xây dựng cơ bảnđở dang,Nguyên giá > Chuyển từ xây dựng cơ bảnđở dang,Chuyển từ xây dựng cơ bảnđở dang,992.855.042.731,651.134.708.754,-,266.098.700,430.237.945,1.644.686.088.130,992855042731.0,651134708754.0,,266098700.0,430237945.0,1644686088130.0
"Thanh lý, xóa số","Nguyên giá > Thanh lý, xóa số","Thanh lý, xóa số",(31.661.670.371),(253.145.833.728),(3.095.539.546),(14.023.625.689),(734.990.389),(302.661.659.723),-31661670371.0,-253145833728.0,-3095539546.0,-14023625689.0,-734990389.0,-302661659723.0
Khác,Nguyên giá > Khác,Khác,(15.435.395.702),5.456.619.446,536.182.678,(14.015.278.204),180.887.598,(23.276.984.184),-15435395702.0,5456619446.0,536182678.0,-14015278204.0,180887598.0,-23276984184.0
Tại ngày 31 tháng 12 năm 2024,Nguyên giá > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,8.265.939.787.012,15.156.680.967.209,118.603.134.649,797.137.596.070,119.372.181.571,24.457.733.666.511,8265939787012.0,15156680967209.0,118603134649.0,797137596070.0,119372181571.0,24457733666511.0
Giả trị khấu hao lũy kế,Giả trị khấu hao lũy kế,Giả trị khấu hao lũy kế,Giả trị khấu hao lũy kế,Giả trị khấu hao lũy kế,Giả trị khấu hao lũy kế,Giả trị khấu hao lũy kế,Giả trị khấu hao lũy kế,Giả trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2024,Giả trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,(1.248.791.176.398),(8.061.593.900.107),(63.353.711.066),(495.178.605.687),(37.928.009.683),(9.906.845.402.941),-1248791176398.0,-8061593900107.0,-63353711066.0,-495178605687.0,-37928009683.0,-9906845402941.0
Khẩu hao trong năm,Giả trị khấu hao lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,(339.239.881.829),(1.608.462.580.575),(13.613.047.746),(75.955.198.138),(8.718.090.682),(2.045.988.798.970),-339239881829.0,-1608462580575.0,-13613047746.0,-75955198138.0,-8718090682.0,-2045988798970.0
"Thanh lý, xóa số","Giả trị khấu hao lũy kế > Thanh lý, xóa số","Thanh lý, xóa số",17.802.530.056,225.746.729.627,3.095.539.546,11.444.334.624,294.664.061,258.383.797.914,17802530056.0,225746729627.0,3095539546.0,11444334624.0,294664061.0,258383797914.0
Khác,Giả trị khấu hao lũy kế > Khác,Khác,3.135.520.087,5.546.628.237,(956.141.258),3.619.931.135,(61.238.997),11.284.699.204,3135520087.0,5546628237.0,-956141258.0,3619931135.0,-61238997.0,11284699204.0
Tại ngày 31 tháng 12 năm 2024,Giả trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,(1.567.093.008.084),(9.438.763.122.818),(74.827.360.524),(556.069.538.066),(46.412.675.301),(11.683.165.704.793),-1567093008084.0,-9438763122818.0,-74827360524.0,-556069538066.0,-46412675301.0,-11683165704793.0
Giả trị còn lại,Giả trị còn lại,Giả trị còn lại,Giả trị còn lại,Giả trị còn lại,Giả trị còn lại,Giả trị còn lại,Giả trị còn lại,Giả trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2024,Giả trị còn lại > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,5.897.987.268.741,6.156.427.869.483,46.041.321.434,208.139.871.802,73.520.543.789,12.382.116.875.249,5897987268741.0,6156427869483.0,46041321434.0,208139871802.0,73520543789.0,12382116875249.0
Tại ngày 31 tháng 12 năm 2024,Giả trị còn lại > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,6.698.846.778.928,5.717.917.844.391,43.775.774.125,241.068.058.004,72.959.506.270,12.774.567.961.718,6698846778928.0,5717917844391.0,43775774125.0,241068058004.0,72959506270.0,12774567961718.0
