row_label_raw,row_label_full,col_0,Giá trị hợp lý tại ngày mua,Giá trị hợp lý tại ngày mua_1,Giá trị hợp lý tại ngày mua_2,numeric__Giá trị hợp lý tại ngày mua,numeric__Giá trị hợp lý tại ngày mua_1,numeric__Giá trị hợp lý tại ngày mua_2
,,,Số liệu đã ghi nhận ban đầu VND,Điều chỉnh VND,Số liệu sau đánh giá lại VND,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,54.865.020.403,-,54.865.020.403,54865020403.0,,54865020403.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,191.694.698.549,-,191.694.698.549,191694698549.0,,191694698549.0
TSCĐ hữu hình,Tài sản > TSCĐ hữu hình,TSCĐ hữu hình,36.658.931.741,12.117.700.000,48.776.631.741,36658931741.0,12117700000.0,48776631741.0
TSCĐ vô hình,Tài sản > TSCĐ vô hình,TSCĐ vô hình,-,345.642.193.880,345.642.193.880,,345642193880.0,345642193880.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,14.833.270.887,-,14.833.270.887,14833270887.0,,14833270887.0
,,,298.051.921.580,357.759.893.880,655.811.815.460,298051921580.0,357759893880.0,655811815460.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,
Phải trả người bán ngắn hạn,Nợ phải trả > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,14.516.417.339,-,14.516.417.339,14516417339.0,,14516417339.0
Phải trả người lao động,Nợ phải trả > Phải trả người lao động,Phải trả người lao động,20.845.865.713,-,20.845.865.713,20845865713.0,,20845865713.0
Thuế và các khoản phải nộp Nhà nước,Nợ phải trả > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,6.498.614.387,-,6.498.614.387,6498614387.0,,6498614387.0
Thuế thu nhập hoãn lại phải trả,Nợ phải trả > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,-,87.254.259.309,87.254.259.309,,87254259309.0,87254259309.0
Nợ phải trả khác,Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,40.166.516.233,-,40.166.516.233,40166516233.0,,40166516233.0
,,,82.027.413.672,87.254.259.309,169.281.672.981,82027413672.0,87254259309.0,169281672981.0
Tài sản thuần,Nợ phải trả > Tài sản thuần,Tài sản thuần,216.024.507.908,270.505.634.571,486.530.142.479,216024507908.0,270505634571.0,486530142479.0
Lợi ích cổ đông không kiểm soát(Thuyết minh 24),Nợ phải trả > Lợi ích cổ đông không kiểm soát(Thuyết minh 24),Lợi ích cổ đông không kiểm soát(Thuyết minh 24),24.778.318.246,33.453.322.461,58.231.640.707,24778318246.0,33453322461.0,58231640707.0
Lợi thể thương mại (Thuyết minh 16),Nợ phải trả > Lợi thể thương mại (Thuyết minh 16),Lợi thể thương mại (Thuyết minh 16),1.066.567.103.038,(416.465.572.777),650.101.530.261,1066567103038.0,-416465572777.0,650101530261.0
