row_label_raw,row_label_full,STT,Công ty,Hoạt động chính,"Nơi thành lập, đăng ký hoạt động",Tại ngày 31/12/2024,Tại ngày 31/12/2024_1,Tại ngày 31/12/2023,Tại ngày 31/12/2023_1,numeric__Công ty,numeric__Hoạt động chính,"numeric__Nơi thành lập, đăng ký hoạt động",numeric__Tại ngày 31/12/2024,numeric__Tại ngày 31/12/2024_1,numeric__Tại ngày 31/12/2023,numeric__Tại ngày 31/12/2023_1
STT,STT,STT,Công ty,Hoạt động chính,"Nơi thành lập, đăng ký hoạt động",Tỷ lệ sở hữu,Tỷ lệ quyết,Tỷ lệ sở hữu,Tỷ lệ quyết,,,,,,,
1,STT > 1,1,Công ty Cổ phần Quản lý quỹ Đầu tư FPT,"Quản lý quỹ đầu tư, quản lý danh mục đầu tư và các dịch vụ khác",Việt Nam,25%,25%,25%,25%,,,,0.25,0.25,0.25,0.25
2,STT > 2,2,Công ty TNHH SBI FPT,Sản xuất phần mềm,Việt Nam,30%,30%,30%,30%,,,,0.3,0.3,0.3,0.3
3,STT > 3,3,Công ty TNHH MJS FPT,Sản xuất phần mềm,Nhật Bản,50%,50%,50%,50%,,,,0.5,0.5,0.5,0.5
4,STT > 4,4,Công ty TNHH FPT Smart Technologies,Sản xuất phần mềm,Việt Nam,50%,50%,50%,50%,,,,0.5,0.5,0.5,0.5
5,STT > 5,5,Công ty TNHH Trí tuệ nhân tạo Quy Nhơn,Kinh doanh bắt động sản,Việt Nam,49%,49%,49%,49%,,,,0.49,0.49,0.49,0.49
6,STT > 6,6,Công ty Cổ phần Công nghệ Nami,Sản xuất phần mềm,Việt Nam,0%,0%,"49,15%","49,15%",,,,0.0,0.0,0.4915,0.4915
7,STT > 7,7,Công ty Cổ phần Next Robotics,"Sản xuất thiết bị tự hành, tự động hóa",Việt Nam,"26,70%","26,70%","32,93%","32,93%",,,,0.267,0.267,0.3293,0.3293
8,STT > 8,8,Công ty Dịch vụ Công nghệ Ackerton,Sản xuất phần mềm,Hàn Quốc,50%,50%,50%,50%,,,,0.5,0.5,0.5,0.5
9,STT > 9,9,"Công ty Konica Minolta FPT Solution Labs, Inc",Sản xuất phần mềm,Nhật Bản,41%,41%,Chưa thành lập,Chưa thành lập,,,,0.41,0.41,,
10,STT > 10,10,Công ty PT FPT Metrodata Indonesia,"Tích hợp hệ thống, dịch vụ phần mềm",Indonesia,40%,40%,Chưa thành lập,Chưa thành lập,,,,0.4,0.4,,
