row_label_raw,row_label_full,col_0,col_1,Tại ngày 1/1/2024 > Giá trị VND,Tại ngày 1/1/2024 > Số có khả năng trả nợ VND,Phát sinh trong năm > Tăng VND,Phát sinh trong năm > Giảm VND,Phát sinh trong năm > Chênh lệch tỷ giá hối đoài VND,Phát sinh trong năm > Biến động do mua mới Công ty con VND,Tại ngày 31/12/2024 > Giá trị VND,Tại ngày 31/12/2024 > Số có khả năng trả nợ VND,numeric__col_1,numeric__Tại ngày 1/1/2024 > Giá trị VND,numeric__Tại ngày 1/1/2024 > Số có khả năng trả nợ VND,numeric__Phát sinh trong năm > Tăng VND,numeric__Phát sinh trong năm > Giảm VND,numeric__Phát sinh trong năm > Chênh lệch tỷ giá hối đoài VND,numeric__Phát sinh trong năm > Biến động do mua mới Công ty con VND,numeric__Tại ngày 31/12/2024 > Giá trị VND,numeric__Tại ngày 31/12/2024 > Số có khả năng trả nợ VND
(a),(a),(a),Ngắn hạn,,,,,,,,,,,,,,,,,
,,,Vay ngắn hạn,,,,,,,,,,,,,,,,,
,,,Vay ngắn hàng (i),12.531.485.234.031,12.531.485.234.031,30.388.486.796.231,(28.554.381.395.339),(54.789.849.485),6.334.538.251,14.317.135.323.689,14.317.135.323.689,,12531485234031.0,12531485234031.0,30388486796231.0,-28554381395339.0,-54789849485.0,6334538251.0,14317135323689.0,14317135323689.0
,,,Vay bên liên quan (Thuyết minh 35(a)) (i),-,-,100.000.000.000,(100.000.000.000),-,-,-,-,,,,100000000000.0,-100000000000.0,,,,
,,,Vay và nợ thuê tài chính dài hạn đến hạn trả,,,,,,,,,,,,,,,,,
,,,Vay ngắn hàng (ii),1.304.944.926.125,1.304.944.926.125,162.488.666.380,(1.358.845.287.584),19.598.661.420,-,128.186.966.341,128.186.966.341,,1304944926125.0,1304944926125.0,162488666380.0,-1358845287584.0,19598661420.0,,128186966341.0,128186966341.0
,,,Nợ thuê tài chính,1.464.313.951,1.464.313.951,1.807.318.543,(2.305.346.865),(50.124.336),-,916.161.293,916.161.293,,1464313951.0,1464313951.0,1807318543.0,-2305346865.0,-50124336.0,,916161293.0,916161293.0
,,,,13.837.894.474.107,13.837.894.474.107,30.652.782.781.154,(30.015.532.029.788),(35.241.312.401),6.334.538.251,14.446.238.451.323,14.446.238.451.323,,13837894474107.0,13837894474107.0,30652782781154.0,-30015532029788.0,-35241312401.0,6334538251.0,14446238451323.0,14446238451323.0
(b),(b),(b),Dải hạn,,,,,,,,,,,,,,,,,
,,,Vay ngắn hàng (ii),204.684.140.714,204.684.140.714,457.795.909.970,(162.488.666.380),(9.179.008.380),8.860.811.535,499.673.187.459,499.673.187.459,,204684140714.0,204684140714.0,457795909970.0,-162488666380.0,-9179008380.0,8860811535.0,499673187459.0,499673187459.0
,,,Nợ thuê tài chính,3.390.856.248,3.390.856.248,-,(1.807.318.543),(141.188.089),-,1.442.349.616,1.442.349.616,,3390856248.0,3390856248.0,,-1807318543.0,-141188089.0,,1442349616.0,1442349616.0
,,,,208.074.996.962,208.074.996.962,457.795.909.970,(164.295.984.923),(9.320.196.469),8.860.811.535,501.115.537.075,501.115.537.075,,208074996962.0,208074996962.0,457795909970.0,-164295984923.0,-9320196469.0,8860811535.0,501115537075.0,501115537075.0
