row_label_raw,row_label_full,col_0,Công nghệ thông tin và viễn thông,Công nghệ thông tin và viễn thông_1,Công nghệ thông tin và viễn thông_2,Công nghệ thông tin và viễn thông_3,"Đầu tư, giáo dục và khác",Loại trừ hợp nhất,Tổng cộng,numeric__Công nghệ thông tin và viễn thông,numeric__Công nghệ thông tin và viễn thông_1,numeric__Công nghệ thông tin và viễn thông_2,numeric__Công nghệ thông tin và viễn thông_3,"numeric__Đầu tư, giáo dục và khác",numeric__Loại trừ hợp nhất,numeric__Tổng cộng
,,,Sản phẩm và Dịch vụ CNTT nước ngoài,Sản phẩm và Dịch vụ CNTT trong nước,Viễn thông,Nội dung số,"Đầu tư, giáo dục và khác",Loại trừ hợp nhất,Tổng cộng,,,,,,,
Doanh thu thuần theo bộ phận,Doanh thu thuần theo bộ phận,Doanh thu thuần theo bộ phận,24.288.049(20.481.911),7.161.056(6.901.693),15.185.852(12.616.038),619.959(524.404),6.572.800(5.087.938),(1.209.815)1.445.711,52.617.901(44.166.273),,,,,,,
Chi phí theo bộ phận (*),Chi phí theo bộ phận (*),Chi phí theo bộ phận (*),,,,,,,,,,,,,,
Trong đó:- Tổng chi phí khấu hao TSCĐ vàphân bổ LTTM,Chi phí theo bộ phận (*) > Trong đó:- Tổng chi phí khấu hao TSCĐ vàphân bổ LTTM,Trong đó:- Tổng chi phí khấu hao TSCĐ vàphân bổ LTTM,(448.139),(134.623),(1.329.413),(3.902),(396.525),26.088,(2.286.514),-448139.0,-134623.0,-1329413.0,-3902.0,-396525.0,26088.0,-2286514.0
- Tổng phân bổ chi phí trả trước dài hạn,Chi phí theo bộ phận (*) > - Tổng phân bổ chi phí trả trước dài hạn,- Tổng phân bổ chi phí trả trước dài hạn,122.097,39.288,1.813.845,9.428,238.952,(6.356),2.217.254,122097.0,39288.0,1813845.0,9428.0,238952.0,-6356.0,2217254.0
"Phần (lỗ)/lãi trong công ty liên doanh, liên kết","Chi phí theo bộ phận (*) > Phần (lỗ)/lãi trong công ty liên doanh, liên kết","Phần (lỗ)/lãi trong công ty liên doanh, liên kết",(19.807),-,-,-,62.154,-,42.347,-19807.0,,,,62154.0,,42347.0
Kết quả HĐKD theo bộ phận,Chi phí theo bộ phận (*) > Kết quả HĐKD theo bộ phận,Kết quả HĐKD theo bộ phận,3.786.331,259.363,2.569.814,95.555,1.547.016,235.896,8.493.975,3786331.0,259363.0,2569814.0,95555.0,1547016.0,235896.0,8493975.0
Lợi nhuận trước thuế theo bộ phận,Chi phí theo bộ phận (*) > Lợi nhuận trước thuế theo bộ phận,Lợi nhuận trước thuế theo bộ phận,3.782.137,379.696,2.894.964,147.094,8.578.385,(6.579.270),9.203.006,3782137.0,379696.0,2894964.0,147094.0,8578385.0,-6579270.0,9203006.0
Tổng chi phí đã phát sinh để mua TSCĐvá các tài sản dài hạn khác,Chi phí theo bộ phận (*) > Tổng chi phí đã phát sinh để mua TSCĐvá các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua TSCĐvá các tài sản dài hạn khác,948.853,334.960,4.374.761,5.043,1.513.431,(21.797),7.165.251,948853.0,334960.0,4374761.0,5043.0,1513431.0,-21797.0,7165251.0
Tài sản bộ phận tại 31/12/2023,Chi phí theo bộ phận (*) > Tài sản bộ phận tại 31/12/2023,Tài sản bộ phận tại 31/12/2023,18.702.522,7.069.131,20.337.579,948.342,25.196.695,(11.971.441),60.282.828,18702522.0,7069131.0,20337579.0,948342.0,25196695.0,-11971441.0,60282828.0
Nợ phải trả bộ phận tại 31/12/2023,Chi phí theo bộ phận (*) > Nợ phải trả bộ phận tại 31/12/2023,Nợ phải trả bộ phận tại 31/12/2023,11.623.735,5.138.885,11.376.366,193.297,13.427.068,(11.409.535),30.349.816,11623735.0,5138885.0,11376366.0,193297.0,13427068.0,-11409535.0,30349816.0
