row_label_raw,row_label_full,Mã số,col_1,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024 VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2023 VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2023 VND
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
31,31,31,Tiền thu từ phát hành cổ phiếu,,163.342.989.874,73.050.500.000,,,163342989874.0,73050500000.0
33,33,33,Tiền thu từ đi vay,,30.946.282.706.201,34.271.246.237.260,,,30946282706201.0,34271246237260.0
34,34,34,Tiền chỉ trả nợ gốc vay,,(30.013.226.682.923),(32.551.882.452.709),,,-30013226682923.0,-32551882452709.0
35,35,35,Tiền chỉ trả nợ gốc thuê tài chính,,(2.305.346.865),(30.169.775.111),,,-2305346865.0,-30169775111.0
36,36,36,"Tiền cổ tức, lợi nhuận đã trả cho chủ sở hữu",,(3.291.859.792.121),(2.930.628.448.135),,,-3291859792121.0,-2930628448135.0
40,40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,(2.197.766.125.834),(1.168.383.938.695),,,-2197766125834.0,-1168383938695.0
50,50,50,Lưu chuyển tiền thuần trong năm,,1.044.198.889.933,1.800.337.593.999,,,1044198889933.0,1800337593999.0
60,60,60,Tiền và tương đương tiền đầu năm,4,8.279.156.683.221,6.440.177.174.322,,4.0,8279156683221.0,6440177174322.0
61,61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,(7.915.134.270),38.641.914.900,,,-7915134270.0,38641914900.0
70,70,70,Tiền và tương đương tiền cuối năm,4,9.315.440.438.884,8.279.156.683.221,,4.0,9315440438884.0,8279156683221.0
