row_label_raw,row_label_full,col_0,Giá trị hợp lý tại ngày mua VND,numeric__Giá trị hợp lý tại ngày mua VND
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,72.135.290.778,72135290778.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,79.163.699.799,79163699799.0
Thuế và các khoản phải thu Nhà nước,Tài sản > Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,7.311.506.793,7311506793.0
TSCĐ vô hình,Tài sản > TSCĐ vô hình,TSCĐ vô hình,282.005.257.052,282005257052.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,53.757.483.546,53757483546.0
,,,494.373.237.968,494373237968.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Phải trả người bán ngắn hạn,Nợ phải trả > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,22.967.648.073,22967648073.0
Phải trả người lao động,Nợ phải trả > Phải trả người lao động,Phải trả người lao động,11.930.926.212,11930926212.0
Thuế và các khoản phải nộp Nhà nước,Nợ phải trả > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,22.565.000.011,22565000011.0
Vay và nợ thuê tài chính,Nợ phải trả > Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,15.195.349.786,15195349786.0
Thuế thu nhập hoãn lại phải trả,Nợ phải trả > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,97.890.382.907,97890382907.0
Nợ phải trả khác,Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,61.956.123.391,61956123391.0
,,,232.505.430.380,232505430380.0
Tài sản thuần,Nợ phải trả > Tài sản thuần,Tài sản thuần,261.867.807.588,261867807588.0
Lợi ích cổ đông không kiểm soát (Thuyết minh 24),Nợ phải trả > Lợi ích cổ đông không kiểm soát (Thuyết minh 24),Lợi ích cổ đông không kiểm soát (Thuyết minh 24),18.319.118.578,18319118578.0
Tài sản thuần theo tỷ lệ sở hữu,Nợ phải trả > Tài sản thuần theo tỷ lệ sở hữu,Tài sản thuần theo tỷ lệ sở hữu,243.548.689.010,243548689010.0
Lợi thế thương mại (Thuyết minh 16),Nợ phải trả > Lợi thế thương mại (Thuyết minh 16),Lợi thế thương mại (Thuyết minh 16),405.953.037.874,405953037874.0
Tổng giá phí,Nợ phải trả > Tổng giá phí,Tổng giá phí,649.501.726.884,649501726884.0
Khoản tiền thu được,Nợ phải trả > Khoản tiền thu được,Khoản tiền thu được,72.135.290.778,72135290778.0
Tiền thuần chi ra,Nợ phải trả > Tiền thuần chi ra,Tiền thuần chi ra,577.366.436.106,577366436106.0
