row_label_raw,row_label_full,Ngân hàng TMCP Ngoại Thương Việt Nam,31/12/2024VND > 248.422.274.960,31/12/2023VND > 284.144.939.481,numeric__31/12/2024VND > 248.422.274.960,numeric__31/12/2023VND > 284.144.939.481
Công ty LG Electronics,Công ty LG Electronics,Công ty LG Electronics,190.890.522.597,201.769.468.371,190890522597.0,201769468371.0
Công ty PETRONAS Digital Sdn Bhd,Công ty PETRONAS Digital Sdn Bhd,Công ty PETRONAS Digital Sdn Bhd,190.312.177.863,194.493.402.137,190312177863.0,194493402137.0
