row_label_raw,row_label_full,col_0,Vốn góp VND,Thăng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Chênh lệch tỷ giả hối đoai VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,LNST chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp VND,numeric__Thăng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Chênh lệch tỷ giả hối đoai VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__LNST chưa phân phối VND,numeric__Tổng cộng VND
Tai ngày 31/12/2023,Tai ngày 31/12/2023,Tai ngày 31/12/2023,2.792.746.578.749,66.375.744.992,30.102.969.515,3.759.749.931,929.127.483.943,-,1.136.742.328.557,4.958.854.855.687,2792746578749.0,66375744992.0,30102969515.0,3759749931.0,929127483943.0,,1136742328557.0,4958854855687.0
Tai ngày 31/12/2024,Tai ngày 31/12/2024,Tai ngày 31/12/2024,2.792.973.085.293,122.415.334.866,30.113.842.695,6.066.292.299,1.153.220.275.158,-,1.828.520.790.693,5.933.309.621.004,2792973085293.0,122415334866.0,30113842695.0,6066292299.0,1153220275158.0,,1828520790693.0,5933309621004.0
