row_label_raw,row_label_full,STT,Công ty,Hoạt động chính,"Nơi thành lập,đăng kýhoạt động",Tại ngày 31/12/2024,Tại ngày 31/12/2024_1,Tại ngày 31/12/2023,Tại ngày 31/12/2023_1,numeric__Công ty,numeric__Hoạt động chính,"numeric__Nơi thành lập,đăng kýhoạt động",numeric__Tại ngày 31/12/2024,numeric__Tại ngày 31/12/2024_1,numeric__Tại ngày 31/12/2023,numeric__Tại ngày 31/12/2023_1
STT,STT,STT,Công ty,Hoạt động chính,"Nơi thành lập,đăng kýhoạt động",Tỷ lệsở hữu,Tỷ lệbiểu quyết,Tỷ lệsở hữu,Tỷ lệbiểu quyết,,,,,,,
75,STT > 75,75,Trường THCS và THPT FPT Hải Phòng,"Giáo dục, đào tạo",Việt Nam,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
76,STT > 76,76,"Trường Tiểu học, THCS và THPT FPT Bắc Giang","Giáo dục, đào tạo",Việt Nam,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
77,STT > 77,77,"Trường Tiểu học, THCS và THPT FPT Hà Nam","Giáo dục, đào tạo",Việt Nam,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
78,STT > 78,78,Công ty TNHH FPT Polytechnic Thanh Hóa,"Giáo dục, đào tạo",Việt Nam,100%,100%,"99,86%","99,86%",,,,1.0,1.0,0.9986,0.9986
79,STT > 79,79,Trường Cao Đằng Y Dược Thăng Long,"Giáo dục, đào tạo",Việt Nam,100%,100%,"99,86%","99,86%",,,,1.0,1.0,0.9986,0.9986
80,STT > 80,80,Trường THPT Tây Hà Nội,"Giáo dục, đào tạo",Việt Nam,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
81,STT > 81,81,Công ty TNHH Giáo dục FPT Nghệ An,"Giáo dục, đào tạo",Việt Nam,100%,100%,Chưa thành lập,Chưa thành lập,,,,1.0,1.0,,
82,STT > 82,82,"Trường Tiểu học, THCS và THPT FPT Thanh Hóa","Giáo dục, đào tạo",Việt Nam,100%,100%,Chưa thành lập,Chưa thành lập,,,,1.0,1.0,,
83,STT > 83,83,Công ty Cổ phần Quốc tế Telehouse Vietnam,Dịch vụ trung tâmdữ liệu,Việt Nam,51%,51%,51%,51%,,,,0.51,0.51,0.51,0.51
84,STT > 84,84,Công ty TNHH Hệ thống Thông tin Campuchia,"Tích hợp hệ thống,dịch vụ phần mềm",Campuchia,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
85,STT > 85,85,Công ty TNHH Đầu tư và Phát triển Hệ thốngđấu thầu qua mạng quốc gia,Giải pháp ứng dụngthương mại điện tửtrong hoạt động mua sắm chính phủ,Việt Nam,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
86,STT > 86,86,Công ty Cổ phần Truyền thông TechUp,Xuất bản phần mềm,Việt Nam,"73,75%","73,75%","73,75%","73,75%",,,,0.7375,0.7375,0.7375,0.7375
87,STT > 87,87,Công ty Cổ phần bán dẫn FPT,Sản xuất lĩnh kiệnđiện tử,Việt Nam,"94,99%","94,99%","94,99%","94,99%",,,,0.9499,0.9499,0.9499,0.9499
88,STT > 88,88,Công ty TNHH MTV Giải pháp Công nghệ FPT,"Tích hợp hệ thống,dịch vụ và giải phápphản mềm",Việt Nam,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
