row_label_raw,row_label_full,STT,Họ và tên,Chức danh,col_3,col_4,numeric__Họ và tên,numeric__Chức danh,numeric__col_3,numeric__col_4
,,,Thù lao thành viên Hội đồng Quản trị,Thù lao thành viên Hội đồng Quản trị,,,,,,
1,1,1,Ông Trương Gia Binh,Chủ tịch,-,-,,,,
2,2,2,Ông Bùi Quang Ngọc,Phó Chủ tịch,-,-,,,,
3,3,3,Ông Đỗ Cao Bảo,Ủy viên,-,-,,,,
4,3 > 4,4,Ông Jean Charles Belliol,Ủy viên,960.000.000,960.000.000,,,960000000.0,960000000.0
5,3 > 5,5,Bà Trần Thị Hồng Lĩnh,Ủy viên,360.000.000,360.000.000,,,360000000.0,360000000.0
6,3 > 6,6,Ông Hiroshi Yokotsuka,Ủy viên,2.532.650.000,2.389.250.000,,,2532650000.0,2389250000.0
7,3 > 7,7,Ông HampapurRangadore Binod,Ủy viên,2.532.650.000,2.389.250.000,,,2532650000.0,2389250000.0
,,,,,6.385.300.000,6.098.500.000,,,6385300000.0,6098500000.0
,,,Thù lao thành viên Ban Kiểm soát,Thù lao thành viên Ban Kiểm soát,,,,,,
1,3 > 1,1,Ông Nguyễn Việt Thắng,Trường ban,716.800.000,716.800.000,,,716800000.0,716800000.0
2,3 > 2,2,Ông Nguyễn Khải Hoàn,Thành viên,369.600.000,369.600.000,,,369600000.0,369600000.0
3,3 > 3,3,Bà Dương Thùy Dương,Thành viên,369.600.000,369.600.000,,,369600000.0,369600000.0
,,,,,1.456.000.000,1.456.000.000,,,1456000000.0,1456000000.0
