row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thăng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Chênh lệch tỷ giá hồi đoai VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,LNST chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thăng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Chênh lệch tỷ giá hồi đoai VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__LNST chưa phân phối VND,numeric__Tổng cộng VND
Tai ngày 1/1/2023,Tai ngày 1/1/2023,Tai ngày 1/1/2023,10.970.265.720.000,49.713.213.411,1.179.064.868.147,(40.480.690.557),1.086.270.726.048,87.203.093.024,7.711.681.484.541,21.043.718.414.614,10970265720000.0,49713213411.0,1179064868147.0,-40480690557.0,1086270726048.0,87203093024.0,7711681484541.0,21043718414614.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,73.050.500.000,-,-,-,-,-,-,73.050.500.000,73050500000.0,,,,,,,73050500000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,6.465.190.432.622,6.465.190.432.622,,,,,,,6465190432622.0,6465190432622.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,(557.312.424.593),(557.312.424.593),,,,,,,-557312424593.0,-557312424593.0
Trích và sử dụng quỹ đầu tư phát triển,Trích và sử dụng quỹ đầu tư phát triển,Trích và sử dụng quỹ đầu tư phát triển,-,-,-,-,495.539.584.866,-,(162.183.355.560),333.356.229.306,,,,,495539584866.0,,-162183355560.0,333356229306.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,1.656.372.530.000,-,749.537.290.000,-,(31.959.370.994),-,(2.373.950.449.006),-,1656372530000.0,,749537290000.0,,-31959370994.0,,-2373950449006.0,
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,-,-,(2.374.300.497.000),(2.374.300.497.000),,,,,,,-2374300497000.0,-2374300497000.0
Khác,Khác,Khác,-,-,-,22.702.187.931,-,-,(34.998.482.334),(12.296.294.403),,,,22702187931.0,,,-34998482334.0,-12296294403.0
Tai ngày 31/12/2023,Tai ngày 31/12/2023,Tai ngày 31/12/2023,12.699.688.750.000,49.713.213.411,1.928.602.158.147,(17.778.502.626),1.549.850.939.920,87.203.093.024,8.674.126.708.670,24.971.406.360.546,12699688750000.0,49713213411.0,1928602158147.0,-17778502626.0,1549850939920.0,87203093024.0,8674126708670.0,24971406360546.0
Phát hành cổ phiếu (i),Phát hành cổ phiếu (i),Phát hành cổ phiếu (i),106.211.170.000,-,-,-,-,-,-,106.211.170.000,106211170000.0,,,,,,,106211170000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,7.856.767.812.178,7.856.767.812.178,,,,,,,7856767812178.0,7856767812178.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,(624.987.179.579),(624.987.179.579),,,,,,,-624987179579.0,-624987179579.0
Trích và sử dụng quỹ đầu tư phát triển,Trích và sử dụng quỹ đầu tư phát triển,Trích và sử dụng quỹ đầu tư phát triển,-,-,-,-,483.438.201.615,-,(188.268.828.315),295.169.373.300,,,,,483438201615.0,,-188268828315.0,295169373300.0
Chia cổ tức bằng cổ phiếu (ii),Chia cổ tức bằng cổ phiếu (ii),Chia cổ tức bằng cổ phiếu (ii),1.904.791.910.000,-,-,-,-,-,(1.904.791.910.000),-,1904791910000.0,,,,,,-1904791910000.0,
Chia cổ tức bằng tiền (ii),Chia cổ tức bằng tiền (ii),Chia cổ tức bằng tiền (ii),-,-,-,-,-,-,(2.741.038.058.000),(2.741.038.058.000),,,,,,,-2741038058000.0,-2741038058000.0
Khác,Khác,Khác,-,-,410.545.307,(31.707.058.234),-,527.391.801,(41.279.873.523),(72.048.994.649),,,410545307.0,-31707058234.0,,527391801.0,-41279873523.0,-72048994649.0
Tai ngày 31/12/2024,Tai ngày 31/12/2024,Tai ngày 31/12/2024,14.710.691.830.000,49.713.213.411,1.929.012.703.454,(49.485.560.860),2.033.289.141.535,87.730.484.825,11.030.528.671.431,29.791.480.483.796,14710691830000.0,49713213411.0,1929012703454.0,-49485560860.0,2033289141535.0,87730484825.0,11030528671431.0,29791480483796.0
