row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tỉnh VND,"Giấy phép, quyền khai thác, quyền phát hành và bản quyền VND",Khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tỉnh VND,"numeric__Giấy phép, quyền khai thác, quyền phát hành và bản quyền VND",numeric__Khác VND,numeric__Tổng cộng VND
Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,,,,,
Tại ngày 1 tháng 1 năm 2024,Nguyên giả > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,275.383.363.231,731.374.912.380,1.282.586.703.500,306.241.753.136,2.595.586.732.247,275383363231.0,731374912380.0,1282586703500.0,306241753136.0,2595586732247.0
Mua trong năm,Nguyên giả > Mua trong năm,Mua trong năm,36.508.874.960,57.175.757.058,131.820.484.562,4.101.605.743,229.606.722.323,36508874960.0,57175757058.0,131820484562.0,4101605743.0,229606722323.0
Tăng từ hợp nhất kinh doanh(Thuyết minh 3),Nguyên giả > Tăng từ hợp nhất kinh doanh(Thuyết minh 3),Tăng từ hợp nhất kinh doanh(Thuyết minh 3),-,-,-,627.647.450.932,627.647.450.932,,,,627647450932.0,627647450932.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giả > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,51.111.064.564,189.175.578.004,52.000.000,240.338.642.568,,51111064564.0,189175578004.0,52000000.0,240338642568.0
"Thanh lý, xóa số","Nguyên giả > Thanh lý, xóa số","Thanh lý, xóa số",-,(30.112.182.218),(4.971.375.981),(52.000.000),(35.135.558.199),,-30112182218.0,-4971375981.0,-52000000.0,-35135558199.0
Khác,Nguyên giả > Khác,Khác,(1.127.603.016),(221.144.391),-,(393.214.676),(1.741.962.083),-1127603016.0,-221144391.0,,-393214676.0,-1741962083.0
Tại ngày 31 tháng 12 năm 2024,Nguyên giả > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,310.764.635.175,809.328.407.393,1.598.611.390.085,937.597.595.135,3.656.302.027.788,310764635175.0,809328407393.0,1598611390085.0,937597595135.0,3656302027788.0
Giả trị khấu hao lũy kế,Giả trị khấu hao lũy kế,Giả trị khấu hao lũy kế,Giả trị khấu hao lũy kế,Giả trị khấu hao lũy kế,Giả trị khấu hao lũy kế,Giả trị khấu hao lũy kế,Giả trị khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2024,Giả trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,(14.987.670.853),(499.190.271.968),(739.508.056.351),(84.803.591.642),(1.338.489.590.814),-14987670853.0,-499190271968.0,-739508056351.0,-84803591642.0,-1338489590814.0
Khấu hao trong năm,Giả trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(1.593.173.183),(121.304.108.050),(150.187.089.885),(40.181.172.154),(313.265.543.272),-1593173183.0,-121304108050.0,-150187089885.0,-40181172154.0,-313265543272.0
"Thanh lý, xóa số","Giả trị khấu hao lũy kế > Thanh lý, xóa số","Thanh lý, xóa số",-,30.022.038.745,4.693.603.012,8.524.589,34.724.166.346,,30022038745.0,4693603012.0,8524589.0,34724166346.0
Khác,Giả trị khấu hao lũy kế > Khác,Khác,-,84.675.502,-,164.780.572,249.456.074,,84675502.0,,164780572.0,249456074.0
Tại ngày 31 tháng 12 năm 2024,Giả trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,(16.580.844.036),(590.387.665.771),(885.001.543.224),(124.811.458.635),(1.616.781.511.666),-16580844036.0,-590387665771.0,-885001543224.0,-124811458635.0,-1616781511666.0
Giả trị còn lại,Giả trị còn lại,Giả trị còn lại,Giả trị còn lại,Giả trị còn lại,Giả trị còn lại,Giả trị còn lại,Giả trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2024,Giả trị còn lại > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,260.395.692.378,232.184.640.412,543.078.647.149,221.438.161.494,1.257.097.141.433,260395692378.0,232184640412.0,543078647149.0,221438161494.0,1257097141433.0
Tại ngày 31 tháng 12 năm 2024,Giả trị còn lại > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,294.183.791.139,218.940.741.622,713.609.846.861,812.786.136.500,2.039.520.516.122,294183791139.0,218940741622.0,713609846861.0,812786136500.0,2039520516122.0
