row_label_raw,row_label_full,Phải trả người bán là các bên liên quan(chỉ tiết trình bày tại Thuyết minh số .8),Số cuối năm > Giá trị > 363.743.830.983,Số cuối năm > VND Số có khả năng trả nợ > 363.743.830.983,Số đầu năm > Giá trị > 235.999.071.866,Số đầu năm > VND Số có khả năng trả nợ > 235.999.071.866,numeric__Số cuối năm > Giá trị > 363.743.830.983,numeric__Số cuối năm > VND Số có khả năng trả nợ > 363.743.830.983,numeric__Số đầu năm > Giá trị > 235.999.071.866,numeric__Số đầu năm > VND Số có khả năng trả nợ > 235.999.071.866
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,103.750.134.230,103.750.134.230,108.291.139.792,108.291.139.792,103750134230.0,103750134230.0,108291139792.0,108291139792.0
,,,467.493.965.213,467.493.965.213,344.290.211.658,344.290.211.658,467493965213.0,467493965213.0,344290211658.0,344290211658.0
