row_label_raw,row_label_full,Đầu tư góp vốn vào đơn vị khác,Số cuối năm > Giá gốc > Đầu tư góp vốn vào đơn vị khác,Số cuối năm > Dự phòng > Đầu tư góp vốn vào đơn vị khác,Số cuối năm > VNDGiá trị hợp lý > Đầu tư góp vốn vào đơn vị khác,Số cuối năm > Giá gốc > Đầu tư góp vốn vào đơn vị khác_1,Số đầu năm > Dự phòng > Đầu tư góp vốn vào đơn vị khác,Số đầu năm > VNDGiá trị hợp lý > Đầu tư góp vốn vào đơn vị khác,numeric__Số cuối năm > Giá gốc > Đầu tư góp vốn vào đơn vị khác,numeric__Số cuối năm > Dự phòng > Đầu tư góp vốn vào đơn vị khác,numeric__Số cuối năm > VNDGiá trị hợp lý > Đầu tư góp vốn vào đơn vị khác,numeric__Số cuối năm > Giá gốc > Đầu tư góp vốn vào đơn vị khác_1,numeric__Số đầu năm > Dự phòng > Đầu tư góp vốn vào đơn vị khác,numeric__Số đầu năm > VNDGiá trị hợp lý > Đầu tư góp vốn vào đơn vị khác
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,386.250.000.000,-,538.550.000.000,445.046.800.000,-,514.525.000.000,386250000000.0,,538550000000.0,445046800000.0,,514525000000.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung,75.000.000.000,-,121.500.000.000,75.000.000.000,-,101.250.000.000,75000000000.0,,121500000000.0,75000000000.0,,101250000000.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,127.500.000.000,-,175.950.000.000,127.500.000.000,-,131.325.000.000,127500000000.0,,175950000000.0,127500000000.0,,131325000000.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,93.750.000.000,-,125.000.000.000,93.750.000.000,-,171.250.000.000,93750000000.0,,125000000000.0,93750000000.0,,171250000000.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,90.000.000.000,-,116.100.000.000,90.000.000.000,-,110.700.000.000,90000000000.0,,116100000000.0,90000000000.0,,110700000000.0
Công ty Cổ phần Quản lý và Phát triển nhà Dầu khí Miền Nam,Công ty Cổ phần Quản lý và Phát triển nhà Dầu khí Miền Nam,Công ty Cổ phần Quản lý và Phát triển nhà Dầu khí Miền Nam,-,-,-,58.796.800.000,-,-,,,,58796800000.0,,
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,680.903.000.000,(662.700.000.000),28.760.424.000,680.903.000.000,(662.700.000.000),25.483.920.000,680903000000.0,-662700000000.0,28760424000.0,680903000000.0,-662700000000.0,25483920000.0
Công ty Cổ phần Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí,100.000.000.000,(100.000.000.000),-,100.000.000.000,(100.000.000.000),-,100000000000.0,-100000000000.0,,100000000000.0,-100000000000.0,
Công ty Cổ phần Hóa dấu và Xơ sợi Dầu khí,Công ty Cổ phần Hóa dấu và Xơ sợi Dầu khí,Công ty Cổ phần Hóa dấu và Xơ sợi Dầu khí,562.700.000.000,(562.700.000.000),-,562.700.000.000,(562.700.000.000),-,562700000000.0,-562700000000.0,,562700000000.0,-562700000000.0,
Công ty Cổ phần Bao bì Đạm Phú Mỹ,Công ty Cổ phần Bao bì Đạm Phú Mỹ,Công ty Cổ phần Bao bì Đạm Phú Mỹ,18.203.000.000,-,28.760.424.000,18.203.000.000,-,25.483.920.000,18203000000.0,,28760424000.0,18203000000.0,,25483920000.0
Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,20.502.000.000,(2.974.231.565),-,20.502.000.000,(335.870.286),-,20502000000.0,-2974231565.0,,20502000000.0,-335870286.0,
"Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu khí","Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu khí","Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu khí",3.600.000.000,-,-,3.600.000.000,(335.870.286),-,3600000000.0,,,3600000000.0,-335870286.0,
Công ty Cổ phần Chế biến Thủy sản Út Xi,Công ty Cổ phần Chế biến Thủy sản Út Xi,Công ty Cổ phần Chế biến Thủy sản Út Xi,16.902.000.000,(2.974.231.565),-,16.902.000.000,-,-,16902000000.0,-2974231565.0,,16902000000.0,,
