row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúcVND,Máy mócvà thiết bịVND,Phường tiệnvấn tảiVND,Thiết bịvăn phòngVND,KhácVND,Tổng cộngVND,numeric__Nhà cửa vàvật kiến trúcVND,numeric__Máy mócvà thiết bịVND,numeric__Phường tiệnvấn tảiVND,numeric__Thiết bịvăn phòngVND,numeric__KhácVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,1.426.724.534.990,5.388.456.338.958,53.143.055.030,147.995.951.498,8.276.902.505,7.024.596.782.981,1426724534990.0,5388456338958.0,53143055030.0,147995951498.0,8276902505.0,7024596782981.0
Dầu tư xây dựng cơ bảnhoàn thành,NGUYÊN GIÁ > Dầu tư xây dựng cơ bảnhoàn thành,Dầu tư xây dựng cơ bảnhoàn thành,391.370.325.753,-,-,-,-,391.370.325.753,391370325753.0,,,,,391370325753.0
Mua sắm mđi,NGUYÊN GIÁ > Mua sắm mđi,Mua sắm mđi,-,15.424.138.434,4.573.608.025,7.031.300.826,-,27.029.047.285,,15424138434.0,4573608025.0,7031300826.0,,27029047285.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,1.818.094.860.743,5.403.880.477.392,57.716.663.055,155.027.252.324,8.276.902.505,7.442.996.156.019,1818094860743.0,5403880477392.0,57716663055.0,155027252324.0,8276902505.0,7442996156019.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,836.155.212.766,5.263.824.516.547,46.340.848.529,87.650.060.195,5.255.413.056,6.239.226.051.093,836155212766.0,5263824516547.0,46340848529.0,87650060195.0,5255413056.0,6239226051093.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,93.797.018.926,83.338.540.205,2.727.356.612,27.501.202.895,1.862.089.023,209.226.207.661,93797018926.0,83338540205.0,2727356612.0,27501202895.0,1862089023.0,209226207661.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,929.952.231.692,5.347.163.056.752,49.068.205.141,115.151.263.090,7.117.502.079,6.448.452.258.754,929952231692.0,5347163056752.0,49068205141.0,115151263090.0,7117502079.0,6448452258754.0
GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,,,,,,
Tại ngày cuối năm,GIÁ TRỊ CÒN LAI > Tại ngày cuối năm,Tại ngày cuối năm,888.142.629.051,56.717.420.640,8.648.457.914,39.875.989.234,1.159.400.426,994.543.897.265,888142629051.0,56717420640.0,8648457914.0,39875989234.0,1159400426.0,994543897265.0
Tại ngày đầu năm,GIÁ TRỊ CÒN LAI > Tại ngày đầu năm,Tại ngày đầu năm,590.569.322.224,124.631.822.411,6.802.206.501,50.345.891.303,3.021.489.449,785.370.731.888,590569322224.0,124631822411.0,6802206501.0,50345891303.0,3021489449.0,785370731888.0
