row_label_raw,row_label_full,Chỉ tiêu,Lũy kế từ đầu năm đến cuối năm > Số đầu năm,Lũy kế từ đầu năm đến cuối năm > Phát sinh tăng,Lũy kế từ đầu năm đến cuối năm > Phát sinh giảm,Lũy kế từ đầu năm đến cuối năm > Số cuối năm,numeric__Lũy kế từ đầu năm đến cuối năm > Số đầu năm,numeric__Lũy kế từ đầu năm đến cuối năm > Phát sinh tăng,numeric__Lũy kế từ đầu năm đến cuối năm > Phát sinh giảm,numeric__Lũy kế từ đầu năm đến cuối năm > Số cuối năm
,,,VND,VND,VND,VND,,,,
a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,,,,,,,,
Thuế thu nhập doanh nghiệp,a) Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,3.152.818.774,-,-,3.152.818.774,3152818774.0,,,3152818774.0
Thuế thu nhập cá nhân,a) Các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,979.004.317,4.331.039.232,979.004.317,4.331.039.232,979004317.0,4331039232.0,979004317.0,4331039232.0
Cộng,a) Các khoản phải thu > Cộng,Cộng,4.131.823.091,4.331.039.232,979.004.317,7.483.858.006,4131823091.0,4331039232.0,979004317.0,7483858006.0
,,,Lũy kế từ đầu năm đến cuối năm,Lũy kế từ đầu năm đến cuối năm,Lũy kế từ đầu năm đến cuối năm,Lũy kế từ đầu năm đến cuối năm,,,,
,,,Số đầu năm,Số phải nộp,Số đã nộp,Số cuối năm,,,,
b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,VND,VND,VND,VND,,,,
Thuế GTGT hàng bản nội địa,b) Các khoản phải trả > Thuế GTGT hàng bản nội địa,Thuế GTGT hàng bản nội địa,851.506.910,14.924.822.985,14.824.298.500,952.031.395,851506910.0,14924822985.0,14824298500.0,952031395.0
Thuế GTGT hàng nhập khẩu,b) Các khoản phải trả > Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,-,15.267.535.459,15.267.535.459,-,,15267535459.0,15267535459.0,
"Thuế xuất, nhập khẩu","b) Các khoản phải trả > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,20.763.497.750,20.763.497.750,-,,20763497750.0,20763497750.0,
Thuế thu nhập doanh nghiệp,b) Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,65.108.176.133,236.272.493.924,288.065.145.515,13.315.524.542,65108176133.0,236272493924.0,288065145515.0,13315524542.0
Thuế thu nhập cá nhân,b) Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.668.674.413,56.971.973.312,59.474.967.916,165.679.809,2668674413.0,56971973312.0,59474967916.0,165679809.0
Thuế tài nguyên,b) Các khoản phải trả > Thuế tài nguyên,Thuế tài nguyên,29.441.280,371.097.880,371.011.520,29.528.640,29441280.0,371097880.0,371011520.0,29528640.0
Thuế bảo vệ môi trường,b) Các khoản phải trả > Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,6.936.000,56.640.000,62.656.000,920.000,6936000.0,56640000.0,62656000.0,920000.0
Thuế nhà đất,b) Các khoản phải trả > Thuế nhà đất,Thuế nhà đất,-,921.877.900,921.877.900,-,,921877900.0,921877900.0,
Thuế môn bài,b) Các khoản phải trả > Thuế môn bài,Thuế môn bài,-,7.000.000,7.000.000,-,,7000000.0,7000000.0,
Thuế nhà thầu nước ngoài,b) Các khoản phải trả > Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,-,17.434.597.418,17.434.597.418,-,,17434597418.0,17434597418.0,
Các loại thuế khác,b) Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,-,2.656.757.327,2.656.757.327,-,,2656757327.0,2656757327.0,
Cộng,b) Các khoản phải trả > Cộng,Cộng,68.664.734.736,365.648.294.955,419.849.345.305,14.463.684.386,68664734736.0,365648294955.0,419849345305.0,14463684386.0
