row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,28,6.875.319.465.757,8.395.699.818.428,1.0,28.0,6875319465757.0,8395699818428.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,28,99.855.371.522,112.817.988.804,2.0,28.0,99855371522.0,112817988804.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,6.775.464.094.235,8.282.881.829.624,10.0,,6775464094235.0,8282881829624.0
4. Giá vốn hàng bán và cung cấp dịch vụ,4. Giá vốn hàng bán và cung cấp dịch vụ,4. Giá vốn hàng bán và cung cấp dịch vụ,11,29,4.736.179.757.273,5.536.482.216.522,11.0,29.0,4736179757273.0,5536482216522.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,2.039.284.336.962,2.746.399.613.102,20.0,,2039284336962.0,2746399613102.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,31,283.421.602.561,308.798.232.412,21.0,31.0,283421602561.0,308798232412.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,32,8.756.410.363,216.400.098.567,22.0,32.0,8756410363.0,216400098567.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,33,594.818.145.517,634.197.814.849,25.0,33.0,594818145517.0,634197814849.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,33,411.744.236.158,490.153.495.126,26.0,33.0,411744236158.0,490153495126.0
10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,1.307.387.147.485,1.714.446.436.972,30.0,,1307387147485.0,1714446436972.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,34,10.092.091.085,24.443.324.321,31.0,34.0,10092091085.0,24443324321.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,52,34,2.547.423.555,1.048.768.634,52.0,34.0,2547423555.0,1048768634.0
13. Lợi nhuận khác (40=31-32),13. Lợi nhuận khác (40=31-32),13. Lợi nhuận khác (40=31-32),40,,7.544.667.530,23.394.555.687,40.0,,7544667530.0,23394555687.0
14. Tổng lợi nhuận kể toán trước thuế (50=30+40),14. Tổng lợi nhuận kể toán trước thuế (50=30+40),14. Tổng lợi nhuận kể toán trước thuế (50=30+40),50,,1.314.931.815.015,1.737.840.992.659,50.0,,1314931815015.0,1737840992659.0
15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,35,236.272.493.924,273.088.484.232,51.0,35.0,236272493924.0,273088484232.0
16. (Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,16. (Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,16. (Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,52,17,(23.205.412.135),(3.618.548.791),52.0,17.0,-23205412135.0,-3618548791.0
17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,1.101.864.733.226,1.468.371.057.218,60.0,,1101864733226.0,1468371057218.0
