row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,31/12/2025 VND,01/01/2025 VND,numeric__Mối quan hệ,numeric__31/12/2025 VND,numeric__01/01/2025 VND
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,,20.904.443.950,19.197.506.830,,20904443950.0,19197506830.0
Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty con,17.298.568.750,17.298.568.750,,17298568750.0,17298568750.0
Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty liên kết,3.605.875.200,1.898.938.080,,3605875200.0,1898938080.0
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,,13.510.108.000,14.780.800.000,,13510108000.0,14780800000.0
Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty con,9.500.000.000,9.500.000.000,,9500000000.0,9500000000.0
Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty liên kết,4.010.108.000,5.280.800.000,,4010108000.0,5280800000.0
Phải thu khác,Phải thu khác,Phải thu khác,,28.000.000.000,28.000.000.000,,28000000000.0,28000000000.0
Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty con,28.000.000.000,28.000.000.000,,28000000000.0,28000000000.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,,234.398.783,-,,234398783.0,
Công ty Cổ phần Lương thực thực phẩm COLUSA-MILIKET,Công ty Cổ phần Lương thực thực phẩm COLUSA-MILIKET,Công ty Cổ phần Lương thực thực phẩm COLUSA-MILIKET,Công ty liên kết,234.398.783,-,,234398783.0,
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,,73.226.957.750,73.226.957.750,,73226957750.0,73226957750.0
Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty con,73.226.957.750,73.226.957.750,,73226957750.0,73226957750.0
