row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Tính chất giao dịch,Năm 2025 VND,Năm 2024 VND,numeric__Mối quan hệ,numeric__Tính chất giao dịch,numeric__Năm 2025 VND,numeric__Năm 2024 VND
Các giao dịch bán hàng,Các giao dịch bán hàng,Các giao dịch bán hàng,,,46.843.110.259,30.268.228.149,,,46843110259.0,30268228149.0
Công ty CP Lương thực thực phẩm Colusa - Miliket,Công ty CP Lương thực thực phẩm Colusa - Miliket,Công ty CP Lương thực thực phẩm Colusa - Miliket,Công ty liên kết,Bán hàng,46.843.110.259,30.268.228.149,,,46843110259.0,30268228149.0
Các giao dịch mua hàng,Các giao dịch mua hàng,Các giao dịch mua hàng,,,522.135.000,-,,,522135000.0,
Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty liên kết,Mua hàng,522.135.000,-,,,522135000.0,
Cổ tức,Cổ tức,Cổ tức,,,1.916.720.000,3.833.440.000,,,1916720000.0,3833440000.0
Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty liên kết,Cổ tức,1.916.720.000,3.833.440.000,,,1916720000.0,3833440000.0
