row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Chênh lệch đánh giá lại tài sản (**),Quỹ đầu tư phát triển,Quỹ khác thuộc Vốn chủ sở hữu (*),Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Chênh lệch đánh giá lại tài sản (**),numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc Vốn chủ sở hữu (*),numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng
Số dư tại 01/01/2024,Số dư tại 01/01/2024,Số dư tại 01/01/2024,5.000.000.000.000,2.890.194.878,22.113.132.999,(214.860.939.288),35.160.337.768,231.825.797.290,(2.778.568.128.755),165.556.811.125,2.464.117.206.017,5000000000000.0,2890194878.0,22113132999.0,-214860939288.0,35160337768.0,231825797290.0,-2778568128755.0,165556811125.0,2464117206017.0
Lãi/Lỗ trong năm trước,Lãi/Lỗ trong năm trước,Lãi/Lỗ trong năm trước,-,-,-,-,-,-,4.310.857.172,25.514.177.012,29.825.034.184,,,,,,,4310857172.0,25514177012.0,29825034184.0
Chuyển quỹ đầu tư phát triển về lợi nhuận,Chuyển quỹ đầu tư phát triển về lợi nhuận,Chuyển quỹ đầu tư phát triển về lợi nhuận,-,-,-,-,(3.033.542.440),-,3.033.542.440,-,-,,,,,-3033542440.0,,3033542440.0,,
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,4.295.705.947,-,(4.295.705.947),-,-,,,,,4295705947.0,,-4295705947.0,,
Trích quỹ khen thưởng ban điều hành,Trích quỹ khen thưởng ban điều hành,Trích quỹ khen thưởng ban điều hành,-,-,-,-,-,-,(10.119.010.895),(8.357.254.507),(18.476.265.402),,,,,,,-10119010895.0,-8357254507.0,-18476265402.0
Trích quỹ từ thiện,Trích quỹ từ thiện,Trích quỹ từ thiện,-,-,-,-,-,-,(442.406.331),(357.593.669),(800.000.000),,,,,,,-442406331.0,-357593669.0,-800000000.0
Trích thù lao HDQT,Trích thù lao HDQT,Trích thù lao HDQT,-,-,-,-,-,-,(504.000.000),-,(504.000.000),,,,,,,-504000000.0,,-504000000.0
Chi trả cổ tức,Chi trả cổ tức,Chi trả cổ tức,-,-,-,-,-,-,-,(41.613.136.600),(41.613.136.600),,,,,,,,-41613136600.0,-41613136600.0
"Trích quỹ từ thiện, khen thưởng BDH","Trích quỹ từ thiện, khen thưởng BDH","Trích quỹ từ thiện, khen thưởng BDH",-,-,-,-,-,-,(1.240.448.837),-,(1.240.448.837),,,,,,,-1240448837.0,,-1240448837.0
- Công ty liên kết,- Công ty liên kết,- Công ty liên kết,,,,,,,,,,,,,,,,,,
Giảm khác,- Công ty liên kết > Giảm khác,Giảm khác,-,-,-,-,-,-,(1.102.209.677),(673.985.232),(1.776.194.909),,,,,,,-1102209677.0,-673985232.0,-1776194909.0
Số dư tại 31/12/2024,- Công ty liên kết > Số dư tại 31/12/2024,Số dư tại 31/12/2024,5.000.000.000.000,2.890.194.878,22.113.132.999,(214.860.939.288),36.422.501.275,231.825.797.290,(2.788.927.510.830),140.069.018.129,2.429.532.194.453,5000000000000.0,2890194878.0,22113132999.0,-214860939288.0,36422501275.0,231825797290.0,-2788927510830.0,140069018129.0,2429532194453.0
Số dư tại 01/01/2025,- Công ty liên kết > Số dư tại 01/01/2025,Số dư tại 01/01/2025,5.000.000.000.000,2.890.194.878,22.113.132.999,(214.860.939.288),36.422.501.275,231.825.797.290,(2.788.927.510.830),140.069.018.129,2.429.532.194.453,5000000000000.0,2890194878.0,22113132999.0,-214860939288.0,36422501275.0,231825797290.0,-2788927510830.0,140069018129.0,2429532194453.0
Lãi/Lỗ trong năm này,- Công ty liên kết > Lãi/Lỗ trong năm này,Lãi/Lỗ trong năm này,-,-,-,-,-,-,28.409.051.868,33.557.247.992,61.966.299.860,,,,,,,28409051868.0,33557247992.0,61966299860.0
Trích quỹ đầu tư phát triển,- Công ty liên kết > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,768.796.404,-,(768.796.404),-,-,,,,,768796404.0,,-768796404.0,,
Trích quỹ khen thưởng ban điều hành,- Công ty liên kết > Trích quỹ khen thưởng ban điều hành,Trích quỹ khen thưởng ban điều hành,-,-,-,-,-,-,(9.522.099.669),(7.263.217.256),(16.785.316.925),,,,,,,-9522099669.0,-7263217256.0,-16785316925.0
Trích quỹ từ thiện,- Công ty liên kết > Trích quỹ từ thiện,Trích quỹ từ thiện,-,-,-,-,-,-,(689.388.133),(345.526.607),(1.034.914.740),,,,,,,-689388133.0,-345526607.0,-1034914740.0
Trích thù lao HDQT,- Công ty liên kết > Trích thù lao HDQT,Trích thù lao HDQT,-,-,-,-,-,-,(228.000.000),-,(228.000.000),,,,,,,-228000000.0,,-228000000.0
Chi trả cổ tức,- Công ty liên kết > Chi trả cổ tức,Chi trả cổ tức,-,-,-,-,-,-,-,(22.752.225.700),(22.752.225.700),,,,,,,,-22752225700.0,-22752225700.0
Tăng/Giảm khác,- Công ty liên kết > Tăng/Giảm khác,Tăng/Giảm khác,,,,,,,149.278.194,2.629.546,151.907.740,,,,,,,149278194.0,2629546.0,151907740.0
Số dư tại 31/12/2025,- Công ty liên kết > Số dư tại 31/12/2025,Số dư tại 31/12/2025,5.000.000.000.000,2.890.194.878,22.113.132.999,(214.860.939.288),37.191.297.679,231.825.797.290,(2.771.577.464.974),143.267.926.104,2.450.849.944.688,5000000000000.0,2890194878.0,22113132999.0,-214860939288.0,37191297679.0,231825797290.0,-2771577464974.0,143267926104.0,2450849944688.0
