row_label_raw,row_label_full,col_0,31/12/2025 > Số ngàyquá hạn,31/12/2025 > Giá gốc,31/12/2025 > Dự phòng,31/12/2025 > Giá trị cóthe thu hồi,Số ngàyquá hạn,01/01/2025 > Giá gốc,01/01/2025 > Dự phòng,01/01/2025 > Giá trị cóthe thu hồi,numeric__31/12/2025 > Số ngàyquá hạn,numeric__31/12/2025 > Giá gốc,numeric__31/12/2025 > Dự phòng,numeric__31/12/2025 > Giá trị cóthe thu hồi,numeric__Số ngàyquá hạn,numeric__01/01/2025 > Giá gốc,numeric__01/01/2025 > Dự phòng,numeric__01/01/2025 > Giá trị cóthe thu hồi
Công ty Cổ phần Lương thực Hậu Giang,Trả trước cho người bán > Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Trên 5 năm,63.726.957.750,(63.726.957.750),-,Trên 5 năm,63.726.957.750,(63.726.957.750),-,,63726957750.0,-63726957750.0,,,63726957750.0,-63726957750.0,
- Trả trước cho người bán,Trả trước cho người bán > - Trả trước cho người bán,- Trả trước cho người bán,,73.226.957.750,,,,73.226.957.750,,,,73226957750.0,,,,73226957750.0,,
- Người mua trả tiền trước,Trả trước cho người bán > - Người mua trả tiền trước,- Người mua trả tiền trước,,(9.500.000.000),,,,(9.500.000.000),,,,-9500000000.0,,,,-9500000000.0,,
Công ty TNHH Xuất nhập khẩuThương mại Võ Thị Thu Hà,Trả trước cho người bán > Công ty TNHH Xuất nhập khẩuThương mại Võ Thị Thu Hà,Công ty TNHH Xuất nhập khẩuThương mại Võ Thị Thu Hà,Trên 5 năm,80.816.416.732,(80.816.416.732),-,Trên 5 năm,80.816.416.732,(80.816.416.732),-,,80816416732.0,-80816416732.0,,,80816416732.0,-80816416732.0,
- Trả trước cho người bán,Trả trước cho người bán > - Trả trước cho người bán,- Trả trước cho người bán,,87.991.938.232,,,,87.991.938.232,,,,87991938232.0,,,,87991938232.0,,
- Người mua trả tiền trước,Trả trước cho người bán > - Người mua trả tiền trước,- Người mua trả tiền trước,,(3.803.625.000),,,,(3.803.625.000),,,,-3803625000.0,,,,-3803625000.0,,
- Phải trả người bán,Trả trước cho người bán > - Phải trả người bán,- Phải trả người bán,,(1.162.500.000),,,,(1.162.500.000),,,,-1162500000.0,,,,-1162500000.0,,
- Cán trừ công nợ phải trả Công ty TNHHĐầu tư Bình Lợi,Trả trước cho người bán > - Cán trừ công nợ phải trả Công ty TNHHĐầu tư Bình Lợi,- Cán trừ công nợ phải trả Công ty TNHHĐầu tư Bình Lợi,,(2.209.396.500),,,,(2.209.396.500),,,,-2209396500.0,,,,-2209396500.0,,
Công ty TNHH MTV Hòa Tân Lộc,Trả trước cho người bán > Công ty TNHH MTV Hòa Tân Lộc,Công ty TNHH MTV Hòa Tân Lộc,Trên 5 năm,77.547.337.612,(77.547.337.612),-,Trên 5 năm,77.547.337.612,(77.547.337.612),-,,77547337612.0,-77547337612.0,,,77547337612.0,-77547337612.0,
- Trả trước cho người bán,Trả trước cho người bán > - Trả trước cho người bán,- Trả trước cho người bán,,78.629.955.300,,,,78.629.955.300,,,,78629955300.0,,,,78629955300.0,,
- Phải trả người bán,Trả trước cho người bán > - Phải trả người bán,- Phải trả người bán,,(1.082.617.688),,,,(1.082.617.688),,,,-1082617688.0,,,,-1082617688.0,,
Công ty Cổ phần Thịnh Phát Kon Tum,Trả trước cho người bán > Công ty Cổ phần Thịnh Phát Kon Tum,Công ty Cổ phần Thịnh Phát Kon Tum,Trên 5 năm,75.681.437.313,(75.681.437.313),-,Trên 5 năm,77.481.437.313,(77.481.437.313),-,,75681437313.0,-75681437313.0,,,77481437313.0,-77481437313.0,
Công ty TNHH Đầu tư Bình Lợi,Trả trước cho người bán > Công ty TNHH Đầu tư Bình Lợi,Công ty TNHH Đầu tư Bình Lợi,Trên 5 năm,12.709.500.000,(12.709.500.000),-,Trên 5 năm,12.709.500.000,(12.709.500.000),-,,12709500000.0,-12709500000.0,,,12709500000.0,-12709500000.0,
Các nhà cung cấp khác,Trả trước cho người bán > Các nhà cung cấp khác,Các nhà cung cấp khác,Trên 5 năm,24.464.966.506,(24.464.966.506),-,Trên 5 năm,18.070.178.047,(18.070.178.047),-,,24464966506.0,-24464966506.0,,,18070178047.0,-18070178047.0,
Tổng,Trả trước cho người bán > Tổng,Tổng,,334.946.615.913,(334.946.615.913),-,,330.351.827.454,(330.351.827.454),-,,334946615913.0,-334946615913.0,,,330351827454.0,-330351827454.0,
