row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị,dụng cụ quản lý",TSCĐ hữuhình khác,Đơn vị tính: VNDTổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị,dụng cụ quản lý",numeric__TSCĐ hữuhình khác,numeric__Đơn vị tính: VNDTổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư tại 01/01/2025,NGUYÊN GIÁ > Số dư tại 01/01/2025,Số dư tại 01/01/2025,3.381.903.350.025,2.334.993.098.637,285.221.605.984,59.414.571.058,36.924.316.744,6.098.456.942.448,3381903350025.0,2334993098637.0,285221605984.0,59414571058.0,36924316744.0,6098456942448.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,5.878.645.581,28.725.302.888,9.931.533.708,2.305.051.497,-,46.840.533.674,5878645581.0,28725302888.0,9931533708.0,2305051497.0,,46840533674.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,2.184.512.595,15.679.788.864,6.356.454.167,1.146.333.230,-,25.367.088.856,2184512595.0,15679788864.0,6356454167.0,1146333230.0,,25367088856.0
Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,3.694.132.986,13.045.514.024,3.575.079.541,1.158.718.267,-,21.473.444.818,3694132986.0,13045514024.0,3575079541.0,1158718267.0,,21473444818.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,28.725.339.418,41.708.843.751,3.575.175.991,264.664.455,-,74.274.023.615,28725339418.0,41708843751.0,3575175991.0,264664455.0,,74274023615.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",23.932.500.944,41.618.986.611,3.463.819.018,107.910.000,-,69.123.216.573,23932500944.0,41618986611.0,3463819018.0,107910000.0,,69123216573.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,1.684.690.303,-,111.356.973,-,-,1.796.047.276,1684690303.0,,111356973.0,,,1796047276.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,3.108.148.171,89.857.140,-,156.754.455,-,3.354.759.766,3108148171.0,89857140.0,,156754455.0,,3354759766.0
Số dư tại 31/12/2025,NGUYÊN GIÁ > Số dư tại 31/12/2025,Số dư tại 31/12/2025,3.359.056.656.188,2.322.009.557.774,291.577.963.701,61.454.958.100,36.924.316.744,6.071.023.452.507,3359056656188.0,2322009557774.0,291577963701.0,61454958100.0,36924316744.0,6071023452507.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư tại 01/01/2025,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2025,Số dư tại 01/01/2025,2.199.776.895.279,1.865.923.295.556,259.766.928.838,53.631.095.215,32.880.541.985,4.411.978.756.873,2199776895279.0,1865923295556.0,259766928838.0,53631095215.0,32880541985.0,4411978756873.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,63.201.491.581,63.541.884.183,9.371.658.807,1.302.773.324,398.430.114,137.816.238.009,63201491581.0,63541884183.0,9371658807.0,1302773324.0,398430114.0,137816238009.0
