row_label_raw,row_label_full,col_0,31/12/2025 (VND) > Nguyên giá,31/12/2025 (VND) > Giá trị còn lại,01/01/2025 (VND) > Nguyên giá,01/01/2025 (VND) > Giá trị còn lại,numeric__31/12/2025 (VND) > Nguyên giá,numeric__31/12/2025 (VND) > Giá trị còn lại,numeric__01/01/2025 (VND) > Nguyên giá,numeric__01/01/2025 (VND) > Giá trị còn lại
"Địa chỉ cơ sở nhà, đất","Địa chỉ cơ sở nhà, đất","Địa chỉ cơ sở nhà, đất",,,,,,,,
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,,,,,,,,
"- Nhà số 142X đường Nguyễn Khoái, phường Vĩnh Hội, TP. Hồ Chí Minh","Tài sản cố định hữu hình > - Nhà số 142X đường Nguyễn Khoái, phường Vĩnh Hội, TP. Hồ Chí Minh","- Nhà số 142X đường Nguyễn Khoái, phường Vĩnh Hội, TP. Hồ Chí Minh",865.962.631,243.412.642,865.962.631,243.412.642,865962631.0,243412642.0,865962631.0,243412642.0
"- Nhà số 117 đường Bà Hom, phường Phú Lâm,TP. Hồ Chí Minh","Tài sản cố định hữu hình > - Nhà số 117 đường Bà Hom, phường Phú Lâm,TP. Hồ Chí Minh","- Nhà số 117 đường Bà Hom, phường Phú Lâm,TP. Hồ Chí Minh",500.956.126,72.529.588,500.956.126,72.529.588,500956126.0,72529588.0,500956126.0,72529588.0
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,,,,,,,,
"- Nhà số 2 đường số 4, phường An Khánh, TP. Hồ Chí Minh","Bất động sản đầu tư > - Nhà số 2 đường số 4, phường An Khánh, TP. Hồ Chí Minh","- Nhà số 2 đường số 4, phường An Khánh, TP. Hồ Chí Minh",8.707.095.668,5.023.562.892,8.707.095.668,5.023.562.892,8707095668.0,5023562892.0,8707095668.0,5023562892.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,,,,,,,,
"- Số 1610 Võ Văn Kiệt, phường Bình Tiên, Tp. Hồ Chí Minh (*)","Tài sản cố định vô hình > - Số 1610 Võ Văn Kiệt, phường Bình Tiên, Tp. Hồ Chí Minh (*)","- Số 1610 Võ Văn Kiệt, phường Bình Tiên, Tp. Hồ Chí Minh (*)",429.265.980.000,429.265.980.000,429.265.980.000,429.265.980.000,429265980000.0,429265980000.0,429265980000.0,429265980000.0
"- Số 400 Nguyễn Duy, phường Hưng Phú, Tp. Hồ Chí Minh (*)","Tài sản cố định vô hình > - Số 400 Nguyễn Duy, phường Hưng Phú, Tp. Hồ Chí Minh (*)","- Số 400 Nguyễn Duy, phường Hưng Phú, Tp. Hồ Chí Minh (*)",119.323.400.000,119.323.400.000,119.323.400.000,119.323.400.000,119323400000.0,119323400000.0,119323400000.0,119323400000.0
"- Lô đất 289 đường Bến Bình Đông, phường Phú Định, TP. Hồ Chí Minh (*)","Tài sản cố định vô hình > - Lô đất 289 đường Bến Bình Đông, phường Phú Định, TP. Hồ Chí Minh (*)","- Lô đất 289 đường Bến Bình Đông, phường Phú Định, TP. Hồ Chí Minh (*)",39.584.880.000,39.584.880.000,39.584.880.000,39.584.880.000,39584880000.0,39584880000.0,39584880000.0,39584880000.0
"- Số 491/12 Nguyễn Đình Chiều, phường Bàn Cờ, Tp. Hồ Chí Minh (*)","Tài sản cố định vô hình > - Số 491/12 Nguyễn Đình Chiều, phường Bàn Cờ, Tp. Hồ Chí Minh (*)","- Số 491/12 Nguyễn Đình Chiều, phường Bàn Cờ, Tp. Hồ Chí Minh (*)",3.889.875.000,3.889.875.000,3.889.875.000,3.889.875.000,3889875000.0,3889875000.0,3889875000.0,3889875000.0
"- Số 175B Trần Tuấn Khải, phường An Đông, Tp. Hồ Chí Minh (*)","Tài sản cố định vô hình > - Số 175B Trần Tuấn Khải, phường An Đông, Tp. Hồ Chí Minh (*)","- Số 175B Trần Tuấn Khải, phường An Đông, Tp. Hồ Chí Minh (*)",8.937.600.000,8.937.600.000,8.937.600.000,8.937.600.000,8937600000.0,8937600000.0,8937600000.0,8937600000.0
