row_label_raw,row_label_full,col_0,31/12/2025 (VND) > Giá trị,31/12/2025 (VND) > Số có khả năng trả nợ,Trong năm (VND) > Tăng,Trong năm (VND) > Giảm,01/01/2025 (VND) > Giá trị,01/01/2025 (VND) > Số có khả năng trả nợ,numeric__31/12/2025 (VND) > Giá trị,numeric__31/12/2025 (VND) > Số có khả năng trả nợ,numeric__Trong năm (VND) > Tăng,numeric__Trong năm (VND) > Giảm,numeric__01/01/2025 (VND) > Giá trị,numeric__01/01/2025 (VND) > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,2.353.278.079.145,2.353.278.079.145,12.238.797.191.193,11.684.374.516.727,1.798.855.404.679,1.798.855.404.679,2353278079145.0,2353278079145.0,12238797191193.0,11684374516727.0,1798855404679.0,1798855404679.0
Ngân hàng TMCP Ngoại thương Việt Nam (1),Ngân hàng TMCP Ngoại thương Việt Nam (1),Ngân hàng TMCP Ngoại thương Việt Nam (1),,,,,,,,,,,,
- VND,Ngân hàng TMCP Ngoại thương Việt Nam (1) > - VND,- VND,858.796.311.956,858.796.311.956,2.162.272.018.449,1.475.147.664.082,171.671.957.589,171.671.957.589,858796311956.0,858796311956.0,2162272018449.0,1475147664082.0,171671957589.0,171671957589.0
- USD,Ngân hàng TMCP Ngoại thương Việt Nam (1) > - USD,- USD,60.907.152.593,60.907.152.593,470.812.610.929,613.567.901.363,203.662.443.027,203.662.443.027,60907152593.0,60907152593.0,470812610929.0,613567901363.0,203662443027.0,203662443027.0
Ngân hàng TMCP Quân đội Việt Nam (2),Ngân hàng TMCP Quân đội Việt Nam (2),Ngân hàng TMCP Quân đội Việt Nam (2),,,,,,,,,,,,
- VND,Ngân hàng TMCP Quân đội Việt Nam (2) > - VND,- VND,22.652.437.500,22.652.437.500,475.911.097.009,636.964.132.502,183.705.472.993,183.705.472.993,22652437500.0,22652437500.0,475911097009.0,636964132502.0,183705472993.0,183705472993.0
- USD,Ngân hàng TMCP Quân đội Việt Nam (2) > - USD,- USD,-,-,443.906.167.906,479.341.869.925,35.435.702.019,35.435.702.019,,,443906167906.0,479341869925.0,35435702019.0,35435702019.0
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (3),Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (3),Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (3),,,,,,,,,,,,
- VND,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (3) > - VND,- VND,1.318.850.000,1.318.850.000,280.978.702.373,279.659.852.373,-,-,1318850000.0,1318850000.0,280978702373.0,279659852373.0,,
- USD,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (3) > - USD,- USD,3.217.994.000,3.217.994.000,66.894.116.031,149.978.725.211,86.302.603.180,86.302.603.180,3217994000.0,3217994000.0,66894116031.0,149978725211.0,86302603180.0,86302603180.0
Ngân hàng TMCP Hàng hải Việt Nam (4),Ngân hàng TMCP Hàng hải Việt Nam (4),Ngân hàng TMCP Hàng hải Việt Nam (4),,,,,,,,,,,,
- VND,Ngân hàng TMCP Hàng hải Việt Nam (4) > - VND,- VND,441.772.619.840,441.772.619.840,2.123.397.657.994,1.844.033.446.154,162.408.408.000,162.408.408.000,441772619840.0,441772619840.0,2123397657994.0,1844033446154.0,162408408000.0,162408408000.0
- USD,Ngân hàng TMCP Hàng hải Việt Nam (4) > - USD,- USD,-,-,1.456.828.786.970,1.538.763.866.758,81.935.079.788,81.935.079.788,,,1456828786970.0,1538763866758.0,81935079788.0,81935079788.0
