row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,MS,TM,Năm 2025VND,Năm 2024VND,numeric__CHỈ TIÊU_1,numeric__MS,numeric__TM,numeric__Năm 2025VND,numeric__Năm 2024VND
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,6.1,17.835.354.207.998,21.477.429.895.022,,1.0,61.0,17835354207998.0,21477429895022.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,6.1,21.810.475.686,17.362.978.198,,2.0,61.0,21810475686.0,17362978198.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01-02),10,6.1,17.813.543.732.312,21.460.066.916.824,,10.0,61.0,17813543732312.0,21460066916824.0
4.,4.,4.,Giá vốn hàng bán,11,6.2,16.031.932.789.872,19.828.321.640.732,,11.0,62.0,16031932789872.0,19828321640732.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20 = 10-11),20,,1.781.610.942.440,1.631.745.276.092,,20.0,,1781610942440.0,1631745276092.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,6.3,119.055.405.542,165.049.955.852,,21.0,63.0,119055405542.0,165049955852.0
7.,7.,7.,Chi phí tài chính,22,6.4,225.147.587.014,296.034.591.492,,22.0,64.0,225147587014.0,296034591492.0
,,,Trong đó: Chi phí lãi vay,23,,125.991.596.586,191.513.339.831,,23.0,,125991596586.0,191513339831.0
8.,8.,8.,"Phần lãi (lỗ) trong Công ty liên kết, liên doanh",24,,6.986.669.382,7.676.369.618,,24.0,,6986669382.0,7676369618.0
9.,9.,9.,Chi phí bán hàng,25,6.5,1.108.630.989.640,1.058.090.804.640,,25.0,65.0,1108630989640.0,1058090804640.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,6.5,505.470.767.014,446.675.119.419,,26.0,65.0,505470767014.0,446675119419.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,68.403.673.696,3.671.086.011,,30.0,,68403673696.0,3671086011.0
,,,{30 = 20+(21-22)+24-(25+26)},,,,,,,,,
12.,12.,12.,Thu nhập khác,31,6.6,25.932.646.092,108.112.336.715,,31.0,66.0,25932646092.0,108112336715.0
13.,13.,13.,Chi phí khác,32,6.6,8.176.214.333,52.674.836.016,,32.0,66.0,8176214333.0,52674836016.0
14.,14.,14.,Lợi nhuận khác (40 = 31-32),40,6.6,17.756.431.759,55.437.500.699,,40.0,66.0,17756431759.0,55437500699.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế (50 = 30+40+45),50,,86.160.105.455,59.108.586.710,,50.0,,86160105455.0,59108586710.0
16.,16.,16.,Chi phí thuế TNDN hiện hành,51,6.7,24.362.671.641,28.827.058.961,,51.0,67.0,24362671641.0,28827058961.0
17.,17.,17.,Chi phí thuế TNDN hoãn lại,52,,(168.866.046),456.493.565,,52.0,,-168866046.0,456493565.0
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60 = 50-51-52),60,,61.966.299.860,29.825.034.184,,60.0,,61966299860.0,29825034184.0
19.,19.,19.,Lợi nhuận sau thuế của cổ đông của Công ty mẹ,61,,28.409.051.868,4.310.857.172,,61.0,,28409051868.0,4310857172.0
20.,20.,20.,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,33.557.247.992,25.514.177.012,,62.0,,33557247992.0,25514177012.0
21.,21.,21.,Lãi cơ bản trên cổ phiếu,70,6.8,57,9,,70.0,68.0,57.0,9.0
