row_label_raw,row_label_full,31/12/2025 (VND),31/12/2025 (VND)_1,01/01/2025 (VND),01/01/2025 (VND)_1,numeric__31/12/2025 (VND)_1,numeric__01/01/2025 (VND),numeric__01/01/2025 (VND)_1
Giá gốc,Giá gốc,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,
4.467.639.446,Giá gốc > 4.467.639.446,4.467.639.446,-,4.914.110.154,-,,4914110154.0,
450.793.348.367,Giá gốc > 450.793.348.367,450.793.348.367,(8.823.086.384),349.751.236.964,(9.254.274.065),-8823086384.0,349751236964.0,-9254274065.0
30.444.068.102,Giá gốc > 30.444.068.102,30.444.068.102,(374.795.423),11.021.751.866,-,-374795423.0,11021751866.0,
8.997.756.706,Giá gốc > 8.997.756.706,8.997.756.706,-,3.727.651.310,-,,3727651310.0,
703.063.395.098,Giá gốc > 703.063.395.098,703.063.395.098,(10.446.271.911),682.970.323.235,(13.313.323.953),-10446271911.0,682970323235.0,-13313323953.0
180.440.413.783,Giá gốc > 180.440.413.783,180.440.413.783,(7.849.002.476),491.205.810.400,(360.938.392),-7849002476.0,491205810400.0,-360938392.0
76.112.454.586,Giá gốc > 76.112.454.586,76.112.454.586,-,31.218.802.824,-,,31218802824.0,
54.363.105.751,Giá gốc > 54.363.105.751,54.363.105.751,-,54.361.712.371,-,,54361712371.0,
1.508.682.181.839,Giá gốc > 1.508.682.181.839,1.508.682.181.839,(27.493.156.194),1.629.171.399.124,(22.928.536.410),-27493156194.0,1629171399124.0,-22928536410.0
