row_label_raw,row_label_full,col_0,31/12/2025 (VND) > Giá trị,31/12/2025 (VND) > Số có khả năng trả nợ,Trong năm (VND) > Tăng,Trong năm (VND) > Giảm,01/01/2025 (VND) > Giá trị,01/01/2025 (VND) > Số có khả năng trả nợ,numeric__31/12/2025 (VND) > Giá trị,numeric__31/12/2025 (VND) > Số có khả năng trả nợ,numeric__Trong năm (VND) > Tăng,numeric__Trong năm (VND) > Giảm,numeric__01/01/2025 (VND) > Giá trị,numeric__01/01/2025 (VND) > Số có khả năng trả nợ
Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng TMCP Sài Gòn - Hà Nội,,,,,,,,,,,,
- VND,Ngân hàng TMCP Sài Gòn - Hà Nội > - VND,- VND,-,-,75.917.727.150,75.917.727.150,-,-,,,75917727150.0,75917727150.0,,
- USD,Ngân hàng TMCP Sài Gòn - Hà Nội > - USD,- USD,-,-,124.659.172,16.130.521.000,16.005.861.828,16.005.861.828,,,124659172.0,16130521000.0,16005861828.0,16005861828.0
Ngân hàng TMCP Đông Nam Á,Ngân hàng TMCP Đông Nam Á,Ngân hàng TMCP Đông Nam Á,,,,,,,,,,,,
- VND,Ngân hàng TMCP Đông Nam Á > - VND,- VND,-,-,25.797.140.000,25.797.140.000,-,-,,,25797140000.0,25797140000.0,,
- USD,Ngân hàng TMCP Đông Nam Á > - USD,- USD,-,-,86.699.799.955,102.940.271.065,16.240.471.110,16.240.471.110,,,86699799955.0,102940271065.0,16240471110.0,16240471110.0
Ngân hàng TMCP Quốc tế Việt Nam - CN Cần Thơ,Ngân hàng TMCP Quốc tế Việt Nam - CN Cần Thơ,Ngân hàng TMCP Quốc tế Việt Nam - CN Cần Thơ,,,,,,,,,,,,
- VND,Ngân hàng TMCP Quốc tế Việt Nam - CN Cần Thơ > - VND,- VND,-,-,19.466.672.250,19.466.672.250,-,-,,,19466672250.0,19466672250.0,,
Các đối tượng khác (10),Ngân hàng TMCP Quốc tế Việt Nam - CN Cần Thơ > Các đối tượng khác (10),Các đối tượng khác (10),11.470.000.000,11.470.000.000,-,100.000.000,11.570.000.000,11.570.000.000,11470000000.0,11470000000.0,,100000000.0,11570000000.0,11570000000.0
Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,,,,,,,,,,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (11),Nợ dài hạn đến hạn trả > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (11),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (11),2.767.800.000,2.767.800.000,2.767.800.000,3.149.596.741,3.149.596.741,3.149.596.741,2767800000.0,2767800000.0,2767800000.0,3149596741.0,3149596741.0,3149596741.0
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Nợ dài hạn đến hạn trả > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,-,-,909.900.000,1.819.800.000,909.900.000,909.900.000,,,909900000.0,1819800000.0,909900000.0,909900000.0
Quỹ Phát Triển Khoa Học và Công Nghệ tỉnh Tiền Giang,Nợ dài hạn đến hạn trả > Quỹ Phát Triển Khoa Học và Công Nghệ tỉnh Tiền Giang,Quỹ Phát Triển Khoa Học và Công Nghệ tỉnh Tiền Giang,-,-,-,860.000.000,860.000.000,860.000.000,,,,860000000.0,860000000.0,860000000.0
Vay dài hạn,Nợ dài hạn đến hạn trả > Vay dài hạn,Vay dài hạn,3.442.300.000,3.442.300.000,4.360.000.000,3.677.700.000,2.760.000.000,2.760.000.000,3442300000.0,3442300000.0,4360000000.0,3677700000.0,2760000000.0,2760000000.0
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Nợ dài hạn đến hạn trả > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,-,-,-,909.900.000,909.900.000,909.900.000,,,,909900000.0,909900000.0,909900000.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (11),Nợ dài hạn đến hạn trả > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (11),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (11),3.442.300.000,3.442.300.000,4.360.000.000,2.767.800.000,1.850.100.000,1.850.100.000,3442300000.0,3442300000.0,4360000000.0,2767800000.0,1850100000.0,1850100000.0
Tổng,Nợ dài hạn đến hạn trả > Tổng,Tổng,2.356.720.379.145,2.356.720.379.145,12.243.157.191.193,11.688.052.216.727,1.801.615.404.679,1.801.615.404.679,2356720379145.0,2356720379145.0,12243157191193.0,11688052216727.0,1801615404679.0,1801615404679.0
