row_label_raw,row_label_full,col_0,CHỈ TIÊU,MS,TM,Năm 2025VND,Năm 2024VND,numeric__CHỈ TIÊU,numeric__MS,numeric__TM,numeric__Năm 2025VND,numeric__Năm 2024VND
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1.,I. Lưu chuyển tiền từ hoạt động kinh doanh > 1.,1.,Lợi nhuận trước thuế,01,,86.160.105.455,59.108.586.710,,1.0,,86160105455.0,59108586710.0
2.,2.,2.,Điều chỉnh cho các khoản,,,,,,,,,
,,,- Khấu hao tài sản cố định và BDS đầu tư,02,,141.739.834.467,144.201.008.225,,2.0,,141739834467.0,144201008225.0
,,,- Các khoản dự phòng,03,,5.375.491.125,(60.212.740.193),,3.0,,5375491125.0,-60212740193.0
,,,"- Lãi, lỗ chênh lệch tỷ giá hối đoái chưa thực hiện",04,,1.070.778.616,20.362.612.006,,4.0,,1070778616.0,20362612006.0
,,,"- Lãi, lỗ từ hoạt động đầu tư",05,,(19.723.296.375),(38.477.856.774),,5.0,,-19723296375.0,-38477856774.0
,,,- Chỉ phí lãi vay,06,,125.991.596.586,191.513.339.831,,6.0,,125991596586.0,191513339831.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,340.614.509.874,316.494.949.805,,8.0,,340614509874.0,316494949805.0
,,,"- Tăng, giảm các khoản phải thu",09,,62.831.738.909,(159.585.711.501),,9.0,,62831738909.0,-159585711501.0
,,,"- Tăng, giảm hàng tồn kho",10,,120.489.217.285,(254.897.011.784),,10.0,,120489217285.0,-254897011784.0
,,,"- Tăng, giảm các khoản phải trả",11,,114.539.927.751,(274.846.794.616),,11.0,,114539927751.0,-274846794616.0
,,,"- Tăng, giảm chỉ phí trả trước",12,,17.973.342.284,(684.615.642),,12.0,,17973342284.0,-684615642.0
,,,- Tiền lãi vay đã trả,14,,(127.041.669.664),(185.157.781.960),,14.0,,-127041669664.0,-185157781960.0
,,,- Thuế thu nhập doanh nghiệp đã nộp,15,,(28.197.301.777),(28.007.154.732),,15.0,,-28197301777.0,-28007154732.0
,,,- Tiền chỉ khác từ hoạt động kinh doanh,17,,(9.390.989.549),(11.173.708.640),,17.0,,-9390989549.0,-11173708640.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,491.818.775.113,(597.857.829.070),,20.0,,491818775113.0,-597857829070.0
II.,II.,II.,Lưu chuyển tiền từ hoạt động đầu tư,,,,,,,,,
1.,II. > 1.,1.,"Tiền chỉ để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,(43.836.993.825),(15.042.769.207),,21.0,,-43836993825.0,-15042769207.0
2.,II. > 2.,2.,"Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,1.595.077.290,27.356.779.711,,22.0,,1595077290.0,27356779711.0
3.,II. > 3.,3.,"Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác",23,,(133.000.000.000),(114.500.000.000),,23.0,,-133000000000.0,-114500000000.0
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,110.000.000.000,106.000.000.000,,24.0,,110000000000.0,106000000000.0
7.,II. > 7.,7.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,15.692.639.814,5.548.340.382,,27.0,,15692639814.0,5548340382.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,(49.549.276.721),9.362.350.886,,30.0,,-49549276721.0,9362350886.0
III.,III.,III.,Lưu chuyển tiền từ hoạt động tài chính,,,,,,,,,
3.,III. > 3.,3.,Tiền thu từ cho vay,33,,12.240.389.391.193,16.380.461.855.176,,33.0,,12240389391193.0,16380461855176.0
4.,III. > 4.,4.,Tiền chỉ trả nợ gốc vay,34,,(11.685.284.416.727),(15.985.759.099.242),,34.0,,-11685284416727.0,-15985759099242.0
6.,III. > 6.,6.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,(22.752.225.700),(41.613.136.600),,36.0,,-22752225700.0,-41613136600.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,532.352.748.766,353.089.619.334,,40.0,,532352748766.0,353089619334.0
,,,Lưu chuyển tiền thuần trong năm (50 = 20+30+40),50,,974.622.247.158,(235.405.858.850),,50.0,,974622247158.0,-235405858850.0
,,,Tiền và tương đương tiền đầu năm,60,,268.051.911.018,503.381.614.735,,60.0,,268051911018.0,503381614735.0
,,,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,(214.299.528),76.155.133,,61.0,,-214299528.0,76155133.0
,,,Tiền và tương đương tiền cuối năm (70 = 50+60+61),70,5.1,1.242.459.858.648,268.051.911.018,,70.0,51.0,1242459858648.0,268051911018.0
